"Coding_ID","Topic_Number","FREX_Words"
1,17,"establish, refer, scope, term, inquiri, examin, judg"
2,5,"childcar, alloc, fund, million, increas, earli, programm"
3,1,"babi, mother, home, westbank, counti, orphanag, children"
4,10,"archiv, databas, data, seal, gdpr, record, copi"
5,4,"excav, site, coron, burial, director, dna, forens"
6,22,"hospit, matern, chariti, etho, church, religi, ownership"
7,16,"get, point, say, situat, thing, know, tri"
8,15,"abort, eighth, repeal, pregnanc, termin, referendum, violenc"
9,8,"payment, card, applic, resid, waiver, elig, quirk"
10,7,"interim, report, forum, commiss, extens, publish, februari"
11,18,"grace, asylum, homeless, mental, complaint, sexual, defenc"
12,9,"adopt, birth, adopte, certif, illeg, registr, regist"
13,21,"lei, sin, mar, narrat, ach, utter, read"
14,12,"daughter, love, father, marri, lone, marriag, famili"
15,2,"redress, exclud, survivor, trauma, six, arbitrari, exclus"
16,14,"transport, byrn, notic, senat, mcgrath, burk, pat"
17,3,"fine, gael, fianna, fáil, polit, taoiseach, parti"
18,20,"welcom, thank, import, stori, everyon, colleagu, listen"
19,19,"victim, shame, truth, justic, horror, incarcer, apolog"
20,6,"human, right, court, principl, bill, law, jurisdict"
21,13,"shall, minut, busi, stage, exceed, seanad, statement"
22,11,"bethani, trial, mortal, vaccin, infant, die, unmark"
