"month","in_government","Regime","Score","Role"
2010-11-01,"0","Exploratory",0.682039119590695,"Opposition"
2010-11-01,"0","Managerial",0.19297959351067,"Opposition"
2010-11-01,"1","Exploratory",0.50665735150729,"Government"
2010-11-01,"1","Managerial",0.407029681297544,"Government"
2011-06-01,"1","Exploratory",0.283628072108924,"Government"
2011-06-01,"1","Managerial",0.568655149006073,"Government"
2011-07-01,"0","Exploratory",0.789304903773766,"Opposition"
2011-07-01,"0","Managerial",0.0939307929209177,"Opposition"
2011-07-01,"1","Exploratory",0.251195238015381,"Government"
2011-07-01,"1","Managerial",0.601214699631522,"Government"
2011-10-01,"0","Exploratory",0.0957307076284544,"Opposition"
2011-10-01,"0","Managerial",0.887890044032536,"Opposition"
2011-10-01,"1","Exploratory",0.435474462250569,"Government"
2011-10-01,"1","Managerial",0.351811277751815,"Government"
2012-09-01,"0","Exploratory",0.826908910696592,"Opposition"
2012-09-01,"0","Managerial",0.103168055626161,"Opposition"
2013-02-01,"0","Exploratory",0.799353958146993,"Opposition"
2013-02-01,"0","Managerial",0.142052472746635,"Opposition"
2013-02-01,"1","Exploratory",0.764434384691532,"Government"
2013-02-01,"1","Managerial",0.193202744216234,"Government"
2013-05-01,"0","Exploratory",0.237765231839042,"Opposition"
2013-05-01,"0","Managerial",0.0366257396966834,"Opposition"
2013-05-01,"1","Exploratory",0.44433347356078,"Government"
2013-05-01,"1","Managerial",0.230688004177075,"Government"
2013-06-01,"0","Exploratory",0.780577168331679,"Opposition"
2013-06-01,"0","Managerial",0.0836220371728995,"Opposition"
2013-07-01,"0","Exploratory",0.633397268539302,"Opposition"
2013-07-01,"0","Managerial",0.135888539669666,"Opposition"
2013-10-01,"0","Exploratory",0.572967701047944,"Opposition"
2013-10-01,"0","Managerial",0.0850253713393532,"Opposition"
2013-11-01,"0","Exploratory",0.503623663587847,"Opposition"
2013-11-01,"0","Managerial",0.0784290915387859,"Opposition"
2013-11-01,"1","Exploratory",0.133809406159561,"Government"
2013-11-01,"1","Managerial",0.275452496734803,"Government"
2013-12-01,"0","Exploratory",0.832585897778473,"Opposition"
2013-12-01,"0","Managerial",0.0735045196693736,"Opposition"
2013-12-01,"1","Exploratory",0.577498410112309,"Government"
2013-12-01,"1","Managerial",0.153036182386328,"Government"
2014-02-01,"0","Exploratory",0.587736205007416,"Opposition"
2014-02-01,"0","Managerial",0.206036236706847,"Opposition"
2014-02-01,"1","Exploratory",0.0951402508550591,"Government"
2014-02-01,"1","Managerial",0.118589778558297,"Government"
2014-04-01,"0","Exploratory",0.921173288970004,"Opposition"
2014-04-01,"0","Managerial",0.0497969601382779,"Opposition"
2014-05-01,"0","Exploratory",0.520250438799658,"Opposition"
2014-05-01,"0","Managerial",0.227679795260602,"Opposition"
2014-06-01,"0","Exploratory",0.600755020149752,"Opposition"
2014-06-01,"0","Managerial",0.261013904041016,"Opposition"
2014-06-01,"1","Exploratory",0.392129386034917,"Government"
2014-06-01,"1","Managerial",0.501155319477537,"Government"
2014-07-01,"0","Exploratory",0.497215343580768,"Opposition"
2014-07-01,"0","Managerial",0.343243172866004,"Opposition"
2014-07-01,"1","Exploratory",0.247562404984758,"Government"
2014-07-01,"1","Managerial",0.666200835843927,"Government"
2014-09-01,"0","Exploratory",0.353144328831377,"Opposition"
2014-09-01,"0","Managerial",0.381664758309862,"Opposition"
2014-09-01,"1","Exploratory",0.195287962565276,"Government"
2014-09-01,"1","Managerial",0.691801826275395,"Government"
2014-10-01,"0","Exploratory",0.67463557609743,"Opposition"
2014-10-01,"0","Managerial",0.190127608763384,"Opposition"
2014-10-01,"1","Exploratory",0.487961331489323,"Government"
2014-10-01,"1","Managerial",0.414079006704502,"Government"
2014-11-01,"0","Exploratory",0.395379342657136,"Opposition"
2014-11-01,"0","Managerial",0.442905022015681,"Opposition"
2014-11-01,"1","Exploratory",0.269536400627048,"Government"
2014-11-01,"1","Managerial",0.577768321727707,"Government"
2014-12-01,"0","Exploratory",0.375075549821006,"Opposition"
2014-12-01,"0","Managerial",0.398529465851246,"Opposition"
