"month","in_government","Topic_ID","Score","Role","Topic_Label","Regime"
2010-11-01,"0","T1",0.0218561195556948,"Opposition","T1: Mother and Baby Homes & County Homes","Other"
2010-11-01,"0","T2",0.00261920519279855,"Opposition","T2: Survivor Redress & Exclusions","Exploratory"
2010-11-01,"0","T3",0.0103496664643135,"Opposition","T3: Party Politics","Exploratory"
2010-11-01,"0","T4",0.000828650022420754,"Opposition","T4: Tuam Site & Excavation","Managerial"
2010-11-01,"0","T5",7.72118873118977e-07,"Opposition","T5: Childcare Funding","Managerial"
2010-11-01,"0","T6",0.0207302168243319,"Opposition","T6: Human Rights & Legislation","Exploratory"
2010-11-01,"0","T7",0.00872918583883643,"Opposition","T7: Commission Reports & Delays","Other"
2010-11-01,"0","T8",0.0575051132637664,"Opposition","T8: Redress Administration","Managerial"
2010-11-01,"0","T9",0.0494233517080033,"Opposition","T9: Adoption & Identity","Other"
2010-11-01,"0","T10",0.000402346120695539,"Opposition","T10: Archives & Records","Other"
2010-11-01,"0","T11",0.168001117373834,"Opposition","T11: Infant Mortality & Vaccine Trials","Exploratory"
2010-11-01,"0","T12",0.0160637195677005,"Opposition","T12: Family Law & Social Norms","Exploratory"
2010-11-01,"0","T13",0.0077009143683241,"Opposition","T13: Parliamentary Procedure","Managerial"
2010-11-01,"0","T14",0.0872745988087874,"Opposition","T14: Order of Business & Seanad","Managerial"
2010-11-01,"0","T15",0.0445702836754046,"Opposition","T15: Abortion & Eighth Amendment","Other"
2010-11-01,"0","T16",0.241033777114316,"Opposition","T16: Informal & Direct Debate","Exploratory"
2010-11-01,"0","T17",0.0396694425274367,"Opposition","T17: Commission Scope & Establishment","Managerial"
2010-11-01,"0","T18",0.198982094035753,"Opposition","T18: Grace Case & Child Protection","Exploratory"
2010-11-01,"0","T19",0.00561385274187979,"Opposition","T19: Survivor Truth & Shame","Exploratory"
2010-11-01,"0","T20",1.02401061504762e-07,"Opposition","T20: Formal & Supportive Debate","Managerial"
2010-11-01,"0","T21",0.00307058288437743,"Opposition","T21: Irish Language","Exploratory"
2010-11-01,"0","T22",0.0155748873913917,"Opposition","T22: Church Role","Exploratory"
2010-11-01,"1","T1",0.0117469067589487,"Government","T1: Mother and Baby Homes & County Homes","Other"
2010-11-01,"1","T2",0.00731916090973085,"Government","T2: Survivor Redress & Exclusions","Exploratory"
2010-11-01,"1","T3",0.00374994441908421,"Government","T3: Party Politics","Exploratory"
2010-11-01,"1","T4",0.00518750535546802,"Government","T4: Tuam Site & Excavation","Managerial"
2010-11-01,"1","T5",1.97870753968277e-07,"Government","T5: Childcare Funding","Managerial"
2010-11-01,"1","T6",0.180265651423506,"Government","T6: Human Rights & Legislation","Exploratory"
2010-11-01,"1","T7",0.0670282180999952,"Government","T7: Commission Reports & Delays","Other"
2010-11-01,"1","T8",0.0961672008860183,"Government","T8: Redress Administration","Managerial"
2010-11-01,"1","T9",0.00533065473977878,"Government","T9: Adoption & Identity","Other"
2010-11-01,"1","T10",0.000578579389170743,"Government","T10: Archives & Records","Other"
2010-11-01,"1","T11",0.210891944250836,"Government","T11: Infant Mortality & Vaccine Trials","Exploratory"
2010-11-01,"1","T12",0.0021290155426598,"Government","T12: Family Law & Social Norms","Exploratory"
2010-11-01,"1","T13",0.01751801852589,"Government","T13: Parliamentary Procedure","Managerial"
2010-11-01,"1","T14",0.0141360200359434,"Government","T14: Order of Business & Seanad","Managerial"
2010-11-01,"1","T15",0.00162860820727219,"Government","T15: Abortion & Eighth Amendment","Other"
2010-11-01,"1","T16",0.0294264380477859,"Government","T16: Informal & Direct Debate","Exploratory"
2010-11-01,"1","T17",0.274020714506779,"Government","T17: Commission Scope & Establishment","Managerial"
2010-11-01,"1","T18",0.0030543595462175,"Government","T18: Grace Case & Child Protection","Exploratory"
2010-11-01,"1","T19",0.0611933137506507,"Government","T19: Survivor Truth & Shame","Exploratory"
2010-11-01,"1","T20",2.41166915779415e-08,"Government","T20: Formal & Supportive Debate","Managerial"
2010-11-01,"1","T21",0.00301155735913108,"Government","T21: Irish Language","Exploratory"
2010-11-01,"1","T22",0.00561596625768786,"Government","T22: Church Role","Exploratory"
2011-06-01,"1","T1",0.0354574081945452,"Government","T1: Mother and Baby Homes & County Homes","Other"
2011-06-01,"1","T2",0.0088607429954928,"Government","T2: Survivor Redress & Exclusions","Exploratory"
2011-06-01,"1","T3",0.00788938492122368,"Government","T3: Party Politics","Exploratory"
2011-06-01,"1","T4",0.00369037512766017,"Government","T4: Tuam Site & Excavation","Managerial"
2011-06-01,"1","T5",4.84695421632535e-07,"Government","T5: Childcare Funding","Managerial"
2011-06-01,"1","T6",0.0167494633370545,"Government","T6: Human Rights & Legislation","Exploratory"
2011-06-01,"1","T7",0.0220687358590581,"Government","T7: Commission Reports & Delays","Other"
2011-06-01,"1","T8",0.331009306230528,"Government","T8: Redress Administration","Managerial"
2011-06-01,"1","T9",0.0140288186922272,"Government","T9: Adoption & Identity","Other"
2011-06-01,"1","T10",0.00384100366818282,"Government","T10: Archives & Records","Other"
2011-06-01,"1","T11",0.108234688313912,"Government","T11: Infant Mortality & Vaccine Trials","Exploratory"
2011-06-01,"1","T12",0.00923336144562154,"Government","T12: Family Law & Social Norms","Exploratory"
2011-06-01,"1","T13",0.0290306269738379,"Government","T13: Parliamentary Procedure","Managerial"
2011-06-01,"1","T14",0.00928231937724949,"Government","T14: Order of Business & Seanad","Managerial"
2011-06-01,"1","T15",0.0723208124709892,"Government","T15: Abortion & Eighth Amendment","Other"
2011-06-01,"1","T16",0.0339133468989125,"Government","T16: Informal & Direct Debate","Exploratory"
2011-06-01,"1","T17",0.195635016022173,"Government","T17: Commission Scope & Establishment","Managerial"
2011-06-01,"1","T18",0.013637631048435,"Government","T18: Grace Case & Child Protection","Exploratory"
2011-06-01,"1","T19",0.0506522611469436,"Government","T19: Survivor Truth & Shame","Exploratory"
2011-06-01,"1","T20",7.02057920248438e-06,"Government","T20: Formal & Supportive Debate","Managerial"
2011-06-01,"1","T21",0.000122534900282586,"Government","T21: Irish Language","Exploratory"
2011-06-01,"1","T22",0.034334657101046,"Government","T22: Church Role","Exploratory"
2011-07-01,"0","T1",0.0212009302615562,"Opposition","T1: Mother and Baby Homes & County Homes","Other"
2011-07-01,"0","T2",0.0639428412079597,"Opposition","T2: Survivor Redress & Exclusions","Exploratory"
2011-07-01,"0","T3",0.0978740084170528,"Opposition","T3: Party Politics","Exploratory"
2011-07-01,"0","T4",0.00253541111595068,"Opposition","T4: Tuam Site & Excavation","Managerial"
2011-07-01,"0","T5",1.48275295134191e-08,"Opposition","T5: Childcare Funding","Managerial"
2011-07-01,"0","T6",0.0396589949274505,"Opposition","T6: Human Rights & Legislation","Exploratory"
2011-07-01,"0","T7",0.0300142477334489,"Opposition","T7: Commission Reports & Delays","Other"
2011-07-01,"0","T8",0.0318770563788846,"Opposition","T8: Redress Administration","Managerial"
2011-07-01,"0","T9",0.0583335405061791,"Opposition","T9: Adoption & Identity","Other"
2011-07-01,"0","T10",0.00461365709137,"Opposition","T10: Archives & Records","Other"
2011-07-01,"0","T11",0.181545684332341,"Opposition","T11: Infant Mortality & Vaccine Trials","Exploratory"
2011-07-01,"0","T12",0.0106196947260877,"Opposition","T12: Family Law & Social Norms","Exploratory"
2011-07-01,"0","T13",0.00329765315312576,"Opposition","T13: Parliamentary Procedure","Managerial"
2011-07-01,"0","T14",0.00341465387734047,"Opposition","T14: Order of Business & Seanad","Managerial"
2011-07-01,"0","T15",0.00260192771276173,"Opposition","T15: Abortion & Eighth Amendment","Other"
2011-07-01,"0","T16",0.0982021525948075,"Opposition","T16: Informal & Direct Debate","Exploratory"
2011-07-01,"0","T17",0.0527859708772965,"Opposition","T17: Commission Scope & Establishment","Managerial"
2011-07-01,"0","T18",0.00463281403759137,"Opposition","T18: Grace Case & Child Protection","Exploratory"
2011-07-01,"0","T19",0.221895699364095,"Opposition","T19: Survivor Truth & Shame","Exploratory"
2011-07-01,"0","T20",2.00326907902081e-05,"Opposition","T20: Formal & Supportive Debate","Managerial"
2011-07-01,"0","T21",0.000647242984025689,"Opposition","T21: Irish Language","Exploratory"
2011-07-01,"0","T22",0.0702857711823547,"Opposition","T22: Church Role","Exploratory"
2011-07-01,"1","T1",0.017356404028694,"Government","T1: Mother and Baby Homes & County Homes","Other"
2011-07-01,"1","T2",0.0599955695106635,"Government","T2: Survivor Redress & Exclusions","Exploratory"
2011-07-01,"1","T3",0.00845671021375973,"Government","T3: Party Politics","Exploratory"
2011-07-01,"1","T4",0.00432085138120467,"Government","T4: Tuam Site & Excavation","Managerial"
2011-07-01,"1","T5",2.25581849598485e-07,"Government","T5: Childcare Funding","Managerial"
2011-07-01,"1","T6",0.00585758847679414,"Government","T6: Human Rights & Legislation","Exploratory"
2011-07-01,"1","T7",0.0662709381758583,"Government","T7: Commission Reports & Delays","Other"
2011-07-01,"1","T8",0.223899514259565,"Government","T8: Redress Administration","Managerial"
2011-07-01,"1","T9",0.00338024451649092,"Government","T9: Adoption & Identity","Other"
2011-07-01,"1","T10",0.0601935907388226,"Government","T10: Archives & Records","Other"
2011-07-01,"1","T11",0.0564668594060868,"Government","T11: Infant Mortality & Vaccine Trials","Exploratory"
2011-07-01,"1","T12",0.000492361514492882,"Government","T12: Family Law & Social Norms","Exploratory"
2011-07-01,"1","T13",0.0117977600822518,"Government","T13: Parliamentary Procedure","Managerial"
2011-07-01,"1","T14",0.0787219204910041,"Government","T14: Order of Business & Seanad","Managerial"
2011-07-01,"1","T15",0.000388884893230824,"Government","T15: Abortion & Eighth Amendment","Other"
2011-07-01,"1","T16",0.0197305486122914,"Government","T16: Informal & Direct Debate","Exploratory"
2011-07-01,"1","T17",0.282464720598037,"Government","T17: Commission Scope & Establishment","Managerial"
2011-07-01,"1","T18",0.00105009705810116,"Government","T18: Grace Case & Child Protection","Exploratory"
2011-07-01,"1","T19",0.0515736205456991,"Government","T19: Survivor Truth & Shame","Exploratory"
2011-07-01,"1","T20",9.70723760940747e-06,"Government","T20: Formal & Supportive Debate","Managerial"
2011-07-01,"1","T21",6.25014644668544e-05,"Government","T21: Irish Language","Exploratory"
2011-07-01,"1","T22",0.0475093812130256,"Government","T22: Church Role","Exploratory"
2011-10-01,"0","T1",0.00546562396852264,"Opposition","T1: Mother and Baby Homes & County Homes","Other"
2011-10-01,"0","T2",0.00321383073192543,"Opposition","T2: Survivor Redress & Exclusions","Exploratory"
2011-10-01,"0","T3",0.0109996073988689,"Opposition","T3: Party Politics","Exploratory"
2011-10-01,"0","T4",0.00279831556614157,"Opposition","T4: Tuam Site & Excavation","Managerial"
2011-10-01,"0","T5",9.27272874045302e-08,"Opposition","T5: Childcare Funding","Managerial"
2011-10-01,"0","T6",0.00141383978784458,"Opposition","T6: Human Rights & Legislation","Exploratory"
2011-10-01,"0","T7",0.0067074411191082,"Opposition","T7: Commission Reports & Delays","Other"
2011-10-01,"0","T8",0.00459163784488358,"Opposition","T8: Redress Administration","Managerial"
2011-10-01,"0","T9",0.00169063429915801,"Opposition","T9: Adoption & Identity","Other"
2011-10-01,"0","T10",0.00072508091605446,"Opposition","T10: Archives & Records","Other"
2011-10-01,"0","T11",0.0221459321679563,"Opposition","T11: Infant Mortality & Vaccine Trials","Exploratory"
2011-10-01,"0","T12",0.00161024763520134,"Opposition","T12: Family Law & Social Norms","Exploratory"
2011-10-01,"0","T13",0.0118127965131963,"Opposition","T13: Parliamentary Procedure","Managerial"
2011-10-01,"0","T14",0.867481628980116,"Opposition","T14: Order of Business & Seanad","Managerial"
2011-10-01,"0","T15",0.00179046803616678,"Opposition","T15: Abortion & Eighth Amendment","Other"
2011-10-01,"0","T16",0.0361166473344983,"Opposition","T16: Informal & Direct Debate","Exploratory"
2011-10-01,"0","T17",0.00116041350943463,"Opposition","T17: Commission Scope & Establishment","Managerial"
2011-10-01,"0","T18",0.00634180416336045,"Opposition","T18: Grace Case & Child Protection","Exploratory"
2011-10-01,"0","T19",0.00129770764335573,"Opposition","T19: Survivor Truth & Shame","Exploratory"
2011-10-01,"0","T20",4.5158891476029e-05,"Opposition","T20: Formal & Supportive Debate","Managerial"
2011-10-01,"0","T21",1.24272992939978e-05,"Opposition","T21: Irish Language","Exploratory"
2011-10-01,"0","T22",0.0125786634661494,"Opposition","T22: Church Role","Exploratory"
2011-10-01,"1","T1",0.0675078614985052,"Government","T1: Mother and Baby Homes & County Homes","Other"
2011-10-01,"1","T2",0.0269332518171943,"Government","T2: Survivor Redress & Exclusions","Exploratory"
2011-10-01,"1","T3",0.0147559163143176,"Government","T3: Party Politics","Exploratory"
2011-10-01,"1","T4",0.00799299008704697,"Government","T4: Tuam Site & Excavation","Managerial"
2011-10-01,"1","T5",2.93796071851393e-07,"Government","T5: Childcare Funding","Managerial"
2011-10-01,"1","T6",0.00303113904599721,"Government","T6: Human Rights & Legislation","Exploratory"
2011-10-01,"1","T7",0.0679106746071206,"Government","T7: Commission Reports & Delays","Other"
2011-10-01,"1","T8",0.0289950321066286,"Government","T8: Redress Administration","Managerial"
2011-10-01,"1","T9",0.0522620168154091,"Government","T9: Adoption & Identity","Other"
2011-10-01,"1","T10",0.0108895849278627,"Government","T10: Archives & Records","Other"
2011-10-01,"1","T11",0.209708995737034,"Government","T11: Infant Mortality & Vaccine Trials","Exploratory"
2011-10-01,"1","T12",0.00944434048902648,"Government","T12: Family Law & Social Norms","Exploratory"
2011-10-01,"1","T13",0.0154489006668125,"Government","T13: Parliamentary Procedure","Managerial"
2011-10-01,"1","T14",0.251891601704206,"Government","T14: Order of Business & Seanad","Managerial"
2011-10-01,"1","T15",0.0141441221487184,"Government","T15: Abortion & Eighth Amendment","Other"
2011-10-01,"1","T16",0.138119707109138,"Government","T16: Informal & Direct Debate","Exploratory"
2011-10-01,"1","T17",0.0473247917104912,"Government","T17: Commission Scope & Establishment","Managerial"
2011-10-01,"1","T18",0.00476417182188746,"Government","T18: Grace Case & Child Protection","Exploratory"
2011-10-01,"1","T19",0.0110004482031641,"Government","T19: Survivor Truth & Shame","Exploratory"
2011-10-01,"1","T20",0.000157667680557685,"Government","T20: Formal & Supportive Debate","Managerial"
2011-10-01,"1","T21",8.61853101593719e-05,"Government","T21: Irish Language","Exploratory"
2011-10-01,"1","T22",0.017630306402651,"Government","T22: Church Role","Exploratory"
2012-09-01,"0","T1",0.0151117030632595,"Opposition","T1: Mother and Baby Homes & County Homes","Other"
2012-09-01,"0","T2",0.0531991668814638,"Opposition","T2: Survivor Redress & Exclusions","Exploratory"
2012-09-01,"0","T3",0.1065499090457,"Opposition","T3: Party Politics","Exploratory"
2012-09-01,"0","T4",0.00234758992320329,"Opposition","T4: Tuam Site & Excavation","Managerial"
2012-09-01,"0","T5",3.49876975963716e-07,"Opposition","T5: Childcare Funding","Managerial"
2012-09-01,"0","T6",0.0129548541617639,"Opposition","T6: Human Rights & Legislation","Exploratory"
2012-09-01,"0","T7",0.0316322815016884,"Opposition","T7: Commission Reports & Delays","Other"
2012-09-01,"0","T8",0.00572663133903328,"Opposition","T8: Redress Administration","Managerial"
2012-09-01,"0","T9",0.0102826235098828,"Opposition","T9: Adoption & Identity","Other"
2012-09-01,"0","T10",0.00673568259888637,"Opposition","T10: Archives & Records","Other"
2012-09-01,"0","T11",0.201690112939538,"Opposition","T11: Infant Mortality & Vaccine Trials","Exploratory"
2012-09-01,"0","T12",0.0266680962250306,"Opposition","T12: Family Law & Social Norms","Exploratory"
2012-09-01,"0","T13",0.0145231306973624,"Opposition","T13: Parliamentary Procedure","Managerial"
2012-09-01,"0","T14",0.0131602827492277,"Opposition","T14: Order of Business & Seanad","Managerial"
2012-09-01,"0","T15",0.00616074300353061,"Opposition","T15: Abortion & Eighth Amendment","Other"
2012-09-01,"0","T16",0.0698767416478843,"Opposition","T16: Informal & Direct Debate","Exploratory"
2012-09-01,"0","T17",0.00888365922798613,"Opposition","T17: Commission Scope & Establishment","Managerial"
2012-09-01,"0","T18",0.040723080353582,"Opposition","T18: Grace Case & Child Protection","Exploratory"
2012-09-01,"0","T19",0.295457702953784,"Opposition","T19: Survivor Truth & Shame","Exploratory"
2012-09-01,"0","T20",0.0585264118123719,"Opposition","T20: Formal & Supportive Debate","Managerial"
2012-09-01,"0","T21",0.000183296127114033,"Opposition","T21: Irish Language","Exploratory"
2012-09-01,"0","T22",0.0196059503607312,"Opposition","T22: Church Role","Exploratory"
2013-02-01,"0","T1",0.0126030258664433,"Opposition","T1: Mother and Baby Homes & County Homes","Other"
2013-02-01,"0","T2",0.0197377380836175,"Opposition","T2: Survivor Redress & Exclusions","Exploratory"
2013-02-01,"0","T3",0.0100686019634381,"Opposition","T3: Party Politics","Exploratory"
2013-02-01,"0","T4",0.0158647031086038,"Opposition","T4: Tuam Site & Excavation","Managerial"
2013-02-01,"0","T5",7.56577137392226e-06,"Opposition","T5: Childcare Funding","Managerial"
2013-02-01,"0","T6",0.0371062791561055,"Opposition","T6: Human Rights & Legislation","Exploratory"
2013-02-01,"0","T7",0.0166665704585844,"Opposition","T7: Commission Reports & Delays","Other"
2013-02-01,"0","T8",0.0333544618490276,"Opposition","T8: Redress Administration","Managerial"
2013-02-01,"0","T9",0.003741503977199,"Opposition","T9: Adoption & Identity","Other"
2013-02-01,"0","T10",0.00619760438039695,"Opposition","T10: Archives & Records","Other"
2013-02-01,"0","T11",0.0899379851267459,"Opposition","T11: Infant Mortality & Vaccine Trials","Exploratory"
2013-02-01,"0","T12",0.0570326960917299,"Opposition","T12: Family Law & Social Norms","Exploratory"
2013-02-01,"0","T13",0.00277946591304507,"Opposition","T13: Parliamentary Procedure","Managerial"
2013-02-01,"0","T14",0.0146910078162844,"Opposition","T14: Order of Business & Seanad","Managerial"
2013-02-01,"0","T15",0.0193848644237491,"Opposition","T15: Abortion & Eighth Amendment","Other"
2013-02-01,"0","T16",0.0303442372561705,"Opposition","T16: Informal & Direct Debate","Exploratory"
2013-02-01,"0","T17",0.0360975434902369,"Opposition","T17: Commission Scope & Establishment","Managerial"
2013-02-01,"0","T18",0.0667125063078077,"Opposition","T18: Grace Case & Child Protection","Exploratory"
2013-02-01,"0","T19",0.426097118966385,"Opposition","T19: Survivor Truth & Shame","Exploratory"
2013-02-01,"0","T20",0.0392577247980632,"Opposition","T20: Formal & Supportive Debate","Managerial"
2013-02-01,"0","T21",0.000125399886329686,"Opposition","T21: Irish Language","Exploratory"
2013-02-01,"0","T22",0.0621913953086632,"Opposition","T22: Church Role","Exploratory"
2013-02-01,"1","T1",0.00886419285813862,"Government","T1: Mother and Baby Homes & County Homes","Other"
2013-02-01,"1","T2",0.0120613810959201,"Government","T2: Survivor Redress & Exclusions","Exploratory"
