speaker_norm,in_government,date,speech_idx,Managerial,Exploratory,parlasent_sentiment_sent,survivor_similarity_sent
maureen o'sullivan,1,2016-12-14,0,0.228296960811523,0.524685844458636,1.2292675375938416,0.3209478
katherine zappone,1,2016-12-14,0,0.536071329129391,0.272966660510239,2.280545783042908,0.25372666
maureen o'sullivan,1,2016-12-14,1,0.416187504035624,0.420748111901484,2.2145367910464606,0.46392956
victor boyhan,1,2016-11-16,0,0.524994859089795,0.381142171699576,2.5304681086226513,0.3427394
thomas pringle,1,2016-11-03,0,0.170166208747852,0.788449573808812,1.0274339936235373,0.3235339
katherine zappone,1,2016-10-05,0,0.807050313128605,0.168096215024703,3.672973494089785,0.22549078
katherine zappone,1,2016-07-21,0,0.695194060516508,0.0627199932596655,2.8957881331443787,0.22418651
katherine zappone,1,2016-06-29,0,0.828443438294277,0.0798960664081786,2.405414426013043,0.1519323
anne rabbitte,0,2016-06-29,0,0.491095047566541,0.241482167166704,3.209055852890015,0.40669745
katherine zappone,1,2016-06-29,1,0.692956084199849,0.171576709064976,3.4036181923002005,0.30767828
fiona o'loughlin,0,2016-05-18,0,0.072785063977662,0.688262018775525,2.775738259866124,0.2923131
robert troy,0,2016-05-17,0,0.146489571644421,0.665729305764571,1.96849249594725,0.34170443
maureen o'sullivan,0,2016-02-02,0,0.122345380231735,0.85185149087104,0.9632614194170424,0.48578775
robert troy,0,2016-01-13,0,0.408949439545908,0.395925617183859,2.757758489251137,0.18644726
ronan mullen,0,2020-12-11,0,0.174781334397864,0.741873713905656,2.335296828299761,0.33772588
micheal martin,1,2020-12-08,0,0.75676635896915,0.154545677339447,1.827480650610394,0.34827513
thomas pringle,0,2020-12-03,0,0.238901893056624,0.162304962043826,1.9953827261924744,0.24499673
sean o fearghail,1,2020-12-02,0,0.954475998005304,0.0311378912700981,2.5172430276870728,0.23261024
catherine connolly,0,2020-12-01,0,0.0816207884683074,0.458925149199093,2.3035101652145387,0.17974234
sean o fearghail,1,2020-12-01,0,0.98772689937117,0.0067391184697079,2.347972631454468,0.18983757
catherine connolly,0,2020-11-19,0,0.109630447358833,0.366096040383953,1.4220373407006264,0.256116
victor boyhan,0,2020-11-18,0,0.523578368072547,0.33860087687356,2.7670877459256547,0.45054626
micheal martin,1,2020-11-17,0,0.178761843245121,0.243985673058161,2.718509867110036,0.39803863
catherine connolly,0,2020-11-12,0,0.135095860179133,0.826315599695496,2.0378979394833245,0.3739125
jennifer murnane o'connor,1,2020-11-11,0,0.200758981801049,0.282602023700231,1.7369003961483638,0.40397602
micheal martin,1,2020-11-11,0,0.223188189404532,0.199884125456462,3.147801915804545,0.11945577
fiona o'loughlin,1,2020-11-05,0,0.374897704574015,0.425556716954719,2.2614863632540954,0.38177657
micheal martin,1,2020-11-04,0,0.125826281007029,0.371771268856069,2.3659168360754848,0.30316016
micheal martin,1,2020-11-04,1,0.280360990326854,0.0601673213807384,3.3113345418657576,0.26260304
micheal martin,1,2020-11-04,2,0.0908894390875124,0.32019234579019,1.9528065154681336,0.45276898
lynn ruane,0,2020-11-03,0,0.253757111824427,0.535504326235342,2.0770142881030385,0.2151924
sean o fearghail,1,2020-11-03,0,0.296581268042066,0.448416413861044,2.8541502729058266,0.3295697
micheal martin,1,2020-11-03,0,0.144800201383197,0.348528211315465,3.0907784832848444,0.28131813
stephen donnelly,1,2020-11-03,0,0.247776369836784,0.459225514138615,2.7043338738381864,0.2246562
victor boyhan,0,2020-10-23,0,0.621506369397433,0.32491815798428,2.230782689036507,0.30982667
ivana bacik,0,2020-10-23,0,0.360316027735171,0.25504927330431,2.398232593680873,0.37772873
frances black,0,2020-10-23,0,0.192940998582849,0.546931995993153,1.6110452244368691,0.5005609
catherine connolly,0,2020-10-23,0,0.0287451208678136,0.876498845167114,1.6178600273198551,0.53908014
michael collins,0,2020-10-23,0,0.235730359353887,0.706668114573781,1.5351585997389507,0.3301246
jennifer murnane o'connor,1,2020-10-23,0,0.178395089914218,0.675512064377457,1.9582151012771107,0.37615544
sean o fearghail,1,2020-10-23,0,0.862544474088097,0.0311456847697601,3.6144824028015137,0.101675764
victor boyhan,0,2020-10-22,0,0.588493702813797,0.361230772899107,2.532035452127457,0.38420472
victor boyhan,0,2020-10-22,1,0.840859845679069,0.0333856981571706,3.0188640356063843,0.23241818
catherine connolly,0,2020-10-22,0,0.0210084291576938,0.511398507435033,1.5742065877646438,0.40557602
thomas pringle,0,2020-10-22,0,0.147656483147682,0.416802176860764,1.2833623239262535,0.34688056
catherine connolly,0,2020-10-22,1,0.02946470077725,0.601904991814053,1.6597213057588929,0.47737116
sean canney,0,2020-10-21,0,0.275825097357514,0.457659109280677,2.020344637188257,0.38823098
michael collins,0,2020-10-21,0,0.0714977780308437,0.505841925070481,1.49328343138883,0.39206934
catherine connolly,0,2020-10-21,0,0.0663071034207657,0.542905601538647,1.5920372409827035,0.46534228
thomas pringle,0,2020-10-21,0,0.158941736537867,0.240412201505234,1.4933714563476628,0.37724066
jim o'callaghan,1,2020-10-21,0,0.168184308641217,0.187808796185788,2.2474997911715144,0.3951505
mattie mcgrath,0,2020-10-20,0,0.490776264219085,0.423634906942831,0.9830985441803932,0.18483774
mattie mcgrath,0,2020-10-20,1,0.309037193896209,0.490587293667084,0.7818726717183987,0.290308
sean canney,0,2020-10-20,0,0.313475363277683,0.525567804681955,1.438852984458208,0.3206339
victor boyhan,0,2020-10-16,0,0.795584778474561,0.151803394987932,2.873598530143499,0.33962226
alice-mary higgins,0,2020-10-16,0,0.0176874832844725,0.198052558317185,2.440453546946166,0.30492824
victor boyhan,0,2020-10-16,1,0.397458863704679,0.5112680411481,2.241868215916532,0.7176485
ronan mullen,0,2020-10-16,0,0.0605624856229715,0.357134996281208,2.064182631139244,0.34476277
lynn ruane,0,2020-10-16,0,0.0407843501987431,0.134920100531479,2.03519886566533,0.27313423
alice-mary higgins,0,2020-10-16,1,0.0454077324192311,0.601830085144528,2.4601155495643616,0.3182395
ivana bacik,0,2020-10-16,0,0.177056489645944,0.381580052177451,2.056431487775766,0.36798102
alice-mary higgins,0,2020-10-16,2,0.0943594485468418,0.316942502477449,1.9364819580624844,0.31956363
lynn ruane,0,2020-10-16,1,0.0967158219500394,0.247737245118892,1.6544393275521303,0.29539335
gerard p. craughwell,0,2020-10-16,0,0.19821127193833,0.685599611269129,0.4665558033933242,0.42956915
lynn ruane,0,2020-10-16,2,0.434187702629068,0.260668012501872,2.5992738405863443,0.26751044
alice-mary higgins,0,2020-10-16,3,0.160380349655648,0.576600869494934,1.677004955354191,0.3196867
alice-mary higgins,0,2020-10-16,4,0.262423299736913,0.425365035965808,2.6134847873135616,0.30008245
alice-mary higgins,0,2020-10-16,5,0.282255546481491,0.412390160323782,2.736511794726054,0.26393285
ivana bacik,0,2020-10-16,1,0.43267350145984,0.174970172678986,3.44094831602914,0.20279287
alice-mary higgins,0,2020-10-16,6,0.441864793820341,0.318732941558125,3.177200542555915,0.2863777
alice-mary higgins,0,2020-10-16,7,0.683789715116536,0.203754067227196,3.261944580078125,0.22980079
ivana bacik,0,2020-10-14,0,0.257718134641936,0.304888885822614,1.7530236195486326,0.42500246
lynn ruane,0,2020-10-14,0,0.226945044227101,0.131247581911625,1.507722804213271,0.38845986
fiona o'loughlin,1,2020-10-14,0,0.311112684066788,0.209811188137633,2.3226083408508984,0.41451728
victor boyhan,0,2020-10-14,0,0.397369669929715,0.513513724519742,2.6094020242110276,0.56959784
david p.b. norris,0,2020-10-14,0,0.0452727109224729,0.192768165230163,1.9451673784189751,0.35927638
