fullName,firstName,lastName,gender,house,constituency,party,role,uri,membership_start,membership_end
Henry J. J. Abbott,Henry J. J.,Abbott,,25th Dáil,Longford-Westmeath,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Henry-J-J-Abbott.D.1987-03-10,1987-03-10,1989-05-25
Caroline Acheson,Caroline,Acheson,,22nd Dáil,Tipperary South,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Caroline-Acheson.D.1981-06-30,1981-06-30,1982-02-27
Gerry Adams,Gerry,Adams,,32nd Dáil,Louth,Sinn Féin,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Gerry-Adams.D.2011-03-09,2016-03-10,2020-01-14
Gerry Adams,Gerry,Adams,,31st Dáil,Louth,Sinn Féin,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Gerry-Adams.D.2011-03-09,2011-03-09,2016-03-09
Patrick Agnew,Patrick,Agnew,,22nd Dáil,Louth,Independent,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Patrick-Agnew.D.1981-06-30,1981-06-30,1982-02-27
Garret Ahearn,Garret,Ahearn,,26th Seanad,Administrative Panel,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Garret-Ahearn.S.2020-03-30,2020-03-30,2025-01-29
Garret Ahearn,Garret,Ahearn,,27th Seanad,Administrative Panel,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Garret-Ahearn.S.2020-03-30,2025-01-29,
Theresa Ahearn,Theresa,Ahearn,,28th Dáil,Tipperary South,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Theresa-Ahearn.D.1989-06-29,1997-06-26,2000-09-20
Theresa Ahearn,Theresa,Ahearn,,27th Dáil,Tipperary South,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Theresa-Ahearn.D.1989-06-29,1992-12-14,1997-05-15
Theresa Ahearn,Theresa,Ahearn,,26th Dáil,Tipperary South,Fine Gael,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Theresa-Ahearn.D.1989-06-29,1989-06-29,1992-11-05
Bertie Ahern,Bertie,Ahern,,30th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,2007-06-14,2011-02-01
Bertie Ahern,Bertie,Ahern,,29th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,2002-06-06,2007-04-30
Bertie Ahern,Bertie,Ahern,,28th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1997-06-26,2002-04-25
Bertie Ahern,Bertie,Ahern,,27th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1992-12-14,1997-05-15
Bertie Ahern,Bertie,Ahern,,26th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1989-06-29,1992-11-05
Bertie Ahern,Bertie,Ahern,,25th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1987-03-10,1989-05-25
Bertie Ahern,Bertie,Ahern,,24th Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1982-12-14,1987-01-21
Bertie Ahern,Bertie,Ahern,,23rd Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1982-03-09,1982-11-04
Bertie Ahern,Bertie,Ahern,,22nd Dáil,Dublin Central,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1981-06-30,1982-02-27
Bertie Ahern,Bertie,Ahern,,21st Dáil,Dublin Finglas,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Bertie-Ahern.D.1977-07-05,1977-07-05,1981-05-21
Ciarán Ahern,Ciarán,Ahern,,34th Dáil,Dublin South-West,Labour Party,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Ciarán-Ahern.D.2024-11-29,2024-11-29,
Dermot Ahern,Dermot,Ahern,,30th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Dermot-Ahern.D.1987-03-10,2007-06-14,2011-02-01
Dermot Ahern,Dermot,Ahern,,29th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Dermot-Ahern.D.1987-03-10,2002-06-06,2007-04-30
Dermot Ahern,Dermot,Ahern,,28th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Dermot-Ahern.D.1987-03-10,1997-06-26,2002-04-25
Dermot Ahern,Dermot,Ahern,,27th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Dermot-Ahern.D.1987-03-10,1992-12-14,1997-05-15
Dermot Ahern,Dermot,Ahern,,26th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Dermot-Ahern.D.1987-03-10,1989-06-29,1992-11-05
Dermot Ahern,Dermot,Ahern,,25th Dáil,Louth,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Dermot-Ahern.D.1987-03-10,1987-03-10,1989-05-25
Kathleen Ahern,Kathleen,Ahern,,21st Dáil,Kerry North,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Kathleen-Ahern.S.1964-11-25,1977-07-05,1981-05-21
Kathleen Ahern,Kathleen,Ahern,,13th Seanad,Cultural and Educational Panel,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Kathleen-Ahern.S.1964-11-25,1973-06-01,1977-05-26
Kathleen Ahern,Kathleen,Ahern,,12th Seanad,Cultural and Educational Panel,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Kathleen-Ahern.S.1964-11-25,1969-11-05,1973-03-30
Kathleen Ahern,Kathleen,Ahern,,11th Seanad,Nominated by the Taoiseach,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Kathleen-Ahern.S.1964-11-25,1965-06-23,1969-07-24
Kathleen Ahern,Kathleen,Ahern,,10th Seanad,Nominated by the Taoiseach,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Kathleen-Ahern.S.1964-11-25,1964-11-25,1965-04-28
Liam Ahern,Liam,Ahern,,20th Dáil,Cork North East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Liam-Ahern.S.1957-05-22,1973-03-14,1974-07-13
Liam Ahern,Liam,Ahern,,12th Seanad,Administrative Panel,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Liam-Ahern.S.1957-05-22,1969-11-05,1973-03-30
Liam Ahern,Liam,Ahern,,11th Seanad,Administrative Panel,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Liam-Ahern.S.1957-05-22,1965-06-23,1969-07-24
Liam Ahern,Liam,Ahern,,10th Seanad,Administrative Panel,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Liam-Ahern.S.1957-05-22,1961-12-14,1965-04-28
Liam Ahern,Liam,Ahern,,9th Seanad,Labour Panel,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Liam-Ahern.S.1957-05-22,1957-05-22,1961-09-01
Michael Ahern,Michael,Ahern,,30th Dáil,Cork East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Ahern.D.1982-03-09,2007-06-14,2011-02-01
Michael Ahern,Michael,Ahern,,29th Dáil,Cork East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Ahern.D.1982-03-09,2002-06-06,2007-04-30
Michael Ahern,Michael,Ahern,,28th Dáil,Cork East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Ahern.D.1982-03-09,1997-06-26,2002-04-25
Michael Ahern,Michael,Ahern,,27th Dáil,Cork East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Ahern.D.1982-03-09,1992-12-14,1997-05-15
Michael Ahern,Michael,Ahern,,26th Dáil,Cork East,Fianna Fáil,TD or Senator,https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Ahern.D.1982-03-09,1989-06-29,1992-11-05
