date,house_x,speaker,text,clean_text,text_length,speaker_norm,taoiseach_at_time,fullName,firstName,lastName,house_y,constituency,party,membership_start,membership_end,gender_guess,in_parliament,in_government
2016-12-14,dail,Deputy Maureen O'Sullivan,"deputy maureen o'sullivan
            my question relates to a request from a group of survivors from the mother and baby homes because they find it offensive that the word ""home"" is used to describe something that was an institution. they were hoping there might be some move on removing that word ""home"" in whatever way that could happen.",            my question relates to a request from a group of survivors from the mother and baby homes because they find it offensive that the word home is used to describe something that was an institution they were hoping there might be some move on removing that word home in whatever way that could happen,54,maureen o'sullivan,enda kenny,Maureen O'Sullivan,Maureen,O'Sullivan,32nd Dáil,Dublin Central,Independent,2016-03-10,2020-01-14 00:00:00.000000,female,yes,1
2016-12-14,dail,Deputy Katherine Zappone,"deputy katherine zappone
            i am aware of the request by the group in question to remove the word ""home"" from the arrangements for the commission of investigation into mother and baby homes and certain related matters and to replace it with the word ""institution"". when the term ""home"" is used to describe institutions such as mother and baby homes, it may not sit easily with some given the general perception and understanding that this word generates in the minds of the majority of people. for this reason, i appreciate the emotional impact of using this word instead of more a generic term such as ""institution"", which i understand the group may consider more acceptable.
             it is important to emphasise the commission is a statutory entity legally established by government order. the language used must be viewed in the context of the requirements of the commissions of investigation act 2004. the act is the backdrop for the commission’s work. its general functions, powers, procedures and protections are laid down in this enabling legislation. if the language used in the order were too vague or did not use the terminology in use at the time these institutions were in being, it could delay or potentially undermine the work of the commission. changing the commission's name would require an amendment to the government order and i have no plans to make such an amendment at this time. making such a change when the commission is more than halfway through its work would risk creating confusion among those who have already contributed to the investigation or who may plan to do so in the future.
             it is my hope that this commission's work will help us all come to a better understanding of how society treated mothers and children in these homes and how attitudes, policy and legislation have changed over the period.",            i am aware of the request by the group in question to remove the word home from the arrangements for the commission of investigation into mother and baby homes and certain related matters and to replace it with the word institution when the term home is used to describe institutions such as mother and baby homes it may not sit easily with some given the general perception and understanding that this word generates in the minds of the majority of people for this reason i appreciate the emotional impact of using this word instead of more a generic term such as institution which i understand the group may consider more acceptable              it is important to emphasise the commission is a statutory entity legally established by government order the language used must be viewed in the context of the requirements of the commissions of investigation act 2004 the act is the backdrop for the commissions work its general functions powers procedures and protections are laid down in this enabling legislation if the language used in the order were too vague or did not use the terminology in use at the time these institutions were in being it could delay or potentially undermine the work of the commission changing the commissions name would require an amendment to the government order and i have no plans to make such an amendment at this time making such a change when the commission is more than halfway through its work would risk creating confusion among those who have already contributed to the investigation or who may plan to do so in the future              it is my hope that this commissions work will help us all come to a better understanding of how society treated mothers and children in these homes and how attitudes policy and legislation have changed over the period,306,katherine zappone,enda kenny,Katherine Zappone,Katherine,Zappone,32nd Dáil,Dublin South-West,Independent,2016-03-10,2020-01-14 00:00:00.000000,female,yes,1
2016-12-14,dail,Deputy Maureen O'Sullivan,"deputy maureen o'sullivan
            the naming issue might seem like a small matter but it is important to the group that brought it to our attention. coming up to christmas, we are very conscious of home and the various christmas songs such as ""driving home for christmas"". it is important that we make the point today. i will refer to a group which met the minister's predecessor, the former deputy and now senator james reilly. they are the mixed race group, some of whom were in these mother and baby homes. their suffering was even more extreme because they were mixed race. they had additional layers of suffering, abuse, name-calling and undermining when compared to children who were not of mixed race. if there are opportunities when the reports are coming in, we should constantly keep in mind that these were not homes as we understand homes. they were institutions.",            the naming issue might seem like a small matter but it is important to the group that brought it to our attention coming up to christmas we are very conscious of home and the various christmas songs such as driving home for christmas it is important that we make the point today i will refer to a group which met the ministers predecessor the former deputy and now senator james reilly they are the mixed race group some of whom were in these mother and baby homes their suffering was even more extreme because they were mixed race they had additional layers of suffering abuse namecalling and undermining when compared to children who were not of mixed race if there are opportunities when the reports are coming in we should constantly keep in mind that these were not homes as we understand homes they were institutions,146,maureen o'sullivan,enda kenny,Maureen O'Sullivan,Maureen,O'Sullivan,32nd Dáil,Dublin Central,Independent,2016-03-10,2020-01-14 00:00:00.000000,female,yes,1
2016-11-17,seanad,Senator Máire Devine,"senator máire devine
          i echo the points made by my colleagues about the number of patients on hospital trolleys. meetings have been cancelled in the emergency department at st. james's hospital this morning because staff are being pushed to the limit. we are now at breaking point.
           i again refer to the treatment of mothers and their children. one of the scandals that was allowed to occur in mother and baby homes in the 1960s was the carrying out of vaccine trials on women and children. the inquiry of the commission to inquire into child abuse is the second state inquiry to investigate these vaccine trials. it has just been discovered, as reported today, that the files of residents were altered in 2002, just weeks after the commision had sought them. this is in keeping with the behaviour of the responsible authorities throughout various state inquiries. one of the victims, ms mari steed, was born in bessborough in the 1960s and is listed as one of the residents who had her records changed. she has taken legal advice and intends to make a formal complaint to an garda síochána and the data protection commissioner.
          the hse and now tusla are in possession of the document, which outlines the changes made to these records since 2011. it is unacceptable that they have lain there since and that no action has been taken. the minister needs to come before the house to explain the shocking action, which is a further wrong carried out after the terror inflicted on mari steed and many others across ireland.",          i echo the points made by my colleagues about the number of patients on hospital trolleys meetings have been cancelled in the emergency department at st jamess hospital this morning because staff are being pushed to the limit we are now at breaking point            i again refer to the treatment of mothers and their children one of the scandals that was allowed to occur in mother and baby homes in the 1960s was the carrying out of vaccine trials on women and children the inquiry of the commission to inquire into child abuse is the second state inquiry to investigate these vaccine trials it has just been discovered as reported today that the files of residents were altered in 2002 just weeks after the commision had sought them this is in keeping with the behaviour of the responsible authorities throughout various state inquiries one of the victims ms mari steed was born in bessborough in the 1960s and is listed as one of the residents who had her records changed she has taken legal advice and intends to make a formal complaint to an garda síochána and the data protection commissioner           the hse and now tusla are in possession of the document which outlines the changes made to these records since 2011 it is unacceptable that they have lain there since and that no action has been taken the minister needs to come before the house to explain the shocking action which is a further wrong carried out after the terror inflicted on mari steed and many others across ireland,260,maire devine,enda kenny,Máire Devine,Máire,Devine,25th Seanad,Labour Panel,Sinn Féin,2016-04-25,2020-03-29 00:00:00.000000,female,yes,0
2016-11-17,dail,Deputy Ruth Coppinger,"deputy ruth coppinger
          the programme for government refers to a balanced migration policy and the possible introduction of a residency reform bill. we are taking hardly any refugees as it stands. in the case of those we have taken, the minister's government maintains the scandal of 4,300 people, of whom 1,600 are children, in 34 centres, living in what can only be described as hell. the last government promised reform in this regard. when will we end the horror of direct provision and realise that in future this state will have to answer to people in the same way it has to answer to those who were in mother and baby homes in the past? when will we end the scandal of people living on €19 per week, not being allowed to cook their own food and not being allowed to work or progress to third level education, which is a slap in the face for young people in particular?",          the programme for government refers to a balanced migration policy and the possible introduction of a residency reform bill we are taking hardly any refugees as it stands in the case of those we have taken the ministers government maintains the scandal of 4300 people of whom 1600 are children in 34 centres living in what can only be described as hell the last government promised reform in this regard when will we end the horror of direct provision and realise that in future this state will have to answer to people in the same way it has to answer to those who were in mother and baby homes in the past when will we end the scandal of people living on 19 per week not being allowed to cook their own food and not being allowed to work or progress to third level education which is a slap in the face for young people in particular,157,ruth coppinger,enda kenny,Ruth Coppinger,Ruth,Coppinger,32nd Dáil,Dublin West,Anti-Austerity Alliance - People Before Profit,2016-03-10,2020-01-14 00:00:00.000000,female,yes,0
2016-11-16,seanad,Senator Victor Boyhan,"senator victor boyhan
          however, it is such a good news story that it is worth repeating, but i will not go on at length.
           the minister, deputy shane ross, will be in the house this afternoon for statements on public transport. some very valid points have been made, particularly by senator rose conway-walsh, about rural development and sustaining rural communities. all transport services cannot be dublin or even city-centric; they must be provided countrywide. i hope we will have a full attendance to put all of these questions to the minister when he comes here in a few hours. we will have the opportunity to ask him questions and i look forward with interest to seeing the participation of all parties and senators.
           a story appeared in a number of national newspapers yesterday and has been echoed in the media today. i refer to the scandal of the historical drug trials that took place on children in state care in the 1940s, 1950s, 1960s and 1970s. the former ministers ms mary harney and deputy micheál martin initiated a number of statutory inquiries but they all came to nothing. the newspapers yesterday contained a story about mother and baby vaccine trials, with files in bessborough allegedly being altered in the 1960s. these are very serious allegations. i have been deeply involved in a campaign based on my personal experiences over many years. the laffoy commission investigated elements of three samples of the alleged drug trials and substantial documentation was secured on court proceedings. this is a really important case, not only for the bessborough home in munster, one of the trial areas looked at by the former minister deputy micheál martin. the matter needs to be reopened. i intend to use private members' time to raise a number of issues and share them with the house. i appeal to the leader to ask the minister to investigate them. i have today drafted a letter that i will send to the minister and copy it to the leader. this is an important issue that we need to discuss in the seanad.",          however it is such a good news story that it is worth repeating but i will not go on at length            the minister deputy shane ross will be in the house this afternoon for statements on public transport some very valid points have been made particularly by senator rose conwaywalsh about rural development and sustaining rural communities all transport services cannot be dublin or even citycentric they must be provided countrywide i hope we will have a full attendance to put all of these questions to the minister when he comes here in a few hours we will have the opportunity to ask him questions and i look forward with interest to seeing the participation of all parties and senators            a story appeared in a number of national newspapers yesterday and has been echoed in the media today i refer to the scandal of the historical drug trials that took place on children in state care in the 1940s 1950s 1960s and 1970s the former ministers ms mary harney and deputy micheál martin initiated a number of statutory inquiries but they all came to nothing the newspapers yesterday contained a story about mother and baby vaccine trials with files in bessborough allegedly being altered in the 1960s these are very serious allegations i have been deeply involved in a campaign based on my personal experiences over many years the laffoy commission investigated elements of three samples of the alleged drug trials and substantial documentation was secured on court proceedings this is a really important case not only for the bessborough home in munster one of the trial areas looked at by the former minister deputy micheál martin the matter needs to be reopened i intend to use private members time to raise a number of issues and share them with the house i appeal to the leader to ask the minister to investigate them i have today drafted a letter that i will send to the minister and copy it to the leader this is an important issue that we need to discuss in the seanad,346,victor boyhan,enda kenny,Victor Boyhan,Victor,Boyhan,25th Seanad,Agricultural Panel,Independent,2016-04-25,2020-03-29 00:00:00.000000,male,yes,1
2016-11-03,dail,Deputy Thomas Pringle,"deputy thomas pringle
          this week saw the publication of the report, review of certain matters relating to a disability service in the south east, also referred to as the grace case. the government and the hse's response to the terrible abuse carried out in a foster home reminds me of the tendency of governments to think and give the impression that these are isolated instances confined only to one particular part of the country. allegations of corruption in the garda investigated as part of the morris tribunal were seen as a donegal problem, not a state-wide issue, and we have seen how that has left us. hence, the grace case should not be seen as purely a south-east problem. geography also played a role in previous government responses to controversies surrounding áras attracta, the catholic church and mother and baby homes, while in reality similar abuses were being carried out across the country. in light of the grace case, how can we say that these are isolated instances with any degree of certainty?
           we have to act beyond the drip-feed response. we must look beyond geography and investigate the institutional response to allegations of abuse and ensure that best practice is carried out across the board. so far, we have been made aware that institutional responses have been, to say the least, inadequate and, to say the worst, abusive in nature. some in authority have responded to allegations by denying them outright. others shoot the messenger or even collude against the whistleblower. there have been institutional cover-ups and made-up counter allegations. everything in their power is done to make the allegations go away.
           these responses have been far removed from best practice, which dictates the need for clearly defined procedures which are understood by all staff and which prioritise the safety of children and vulnerable adults. the only way to prevent abuse is to have those responsible acknowledge the wrongdoing in order to facilitate an appropriate and uniform response to allegations, regardless of in which part of the country the abuse occurred. all responses should be identical. will the tánaiste ensure that an audit is carried out in all hse-run facilities to examine whether sufficient safeguarding practices are in place to protect children and vulnerable adults from abuse and to examine how the hse has responded to current and historical allegations of abuse?",          this week saw the publication of the report review of certain matters relating to a disability service in the south east also referred to as the grace case the government and the hses response to the terrible abuse carried out in a foster home reminds me of the tendency of governments to think and give the impression that these are isolated instances confined only to one particular part of the country allegations of corruption in the garda investigated as part of the morris tribunal were seen as a donegal problem not a statewide issue and we have seen how that has left us hence the grace case should not be seen as purely a southeast problem geography also played a role in previous government responses to controversies surrounding áras attracta the catholic church and mother and baby homes while in reality similar abuses were being carried out across the country in light of the grace case how can we say that these are isolated instances with any degree of certainty            we have to act beyond the dripfeed response we must look beyond geography and investigate the institutional response to allegations of abuse and ensure that best practice is carried out across the board so far we have been made aware that institutional responses have been to say the least inadequate and to say the worst abusive in nature some in authority have responded to allegations by denying them outright others shoot the messenger or even collude against the whistleblower there have been institutional coverups and madeup counter allegations everything in their power is done to make the allegations go away            these responses have been far removed from best practice which dictates the need for clearly defined procedures which are understood by all staff and which prioritise the safety of children and vulnerable adults the only way to prevent abuse is to have those responsible acknowledge the wrongdoing in order to facilitate an appropriate and uniform response to allegations regardless of in which part of the country the abuse occurred all responses should be identical will the tánaiste ensure that an audit is carried out in all hserun facilities to examine whether sufficient safeguarding practices are in place to protect children and vulnerable adults from abuse and to examine how the hse has responded to current and historical allegations of abuse,390,thomas pringle,enda kenny,Thomas Pringle,Thomas,Pringle,32nd Dáil,Donegal,Independent,2016-03-10,2020-01-14 00:00:00.000000,male,yes,1
2016-10-26,dail,The Taoiseach,"the taoiseach
          i know the deputy has raised this out of a sense of seriousness because it is ultimately the most personally invasive and sensitive issue which could arise. i remember meeting louise o'keeffe with the then minister for education and skills, deputy jan o'sullivan. there was a huge file on the case, leaving aside her courage in pursuing her case in the european court.
           i do not know how many victims of sexual abuse there have been over the years in the primary school system. it is no more than the secondary school system, i assume. we had the redress scheme, the case of all the magdalenes - not that there was sexual abuse in the vast majority of cases - and the mother and baby home report which will come before the minister for children and youth affairs. we will have to see what that means.
           i cannot recall all the details of the file in this case. deputy micheál martin's asked if something can be done about this. i have no idea of the scale of what might be involved. i need to read the detail of the file and the legal outcomes.
           people who were abused have to live with that for all of their lives. it is a horrific issue to have to contend with every waking moment. i do not want to go beyond that. to commit to something that i do not have the full facts or details about would not be appropriate on the floor of the dáil. the sexual abuse of children is a horrific crime. those who perpetrate such crimes, if they are still around, should be brought before justice. to go back the distance involved here would present an enormous scale and challenge. deputy micheál martin has made a point. i will have to look at the scale of what might be involved to answer his question on whether anything might be possible. i do not want to give a commitment without focussing on the potential scale of what is involved.",          i know the deputy has raised this out of a sense of seriousness because it is ultimately the most personally invasive and sensitive issue which could arise i remember meeting louise okeeffe with the then minister for education and skills deputy jan osullivan there was a huge file on the case leaving aside her courage in pursuing her case in the european court            i do not know how many victims of sexual abuse there have been over the years in the primary school system it is no more than the secondary school system i assume we had the redress scheme the case of all the magdalenes  not that there was sexual abuse in the vast majority of cases  and the mother and baby home report which will come before the minister for children and youth affairs we will have to see what that means            i cannot recall all the details of the file in this case deputy micheál martins asked if something can be done about this i have no idea of the scale of what might be involved i need to read the detail of the file and the legal outcomes            people who were abused have to live with that for all of their lives it is a horrific issue to have to contend with every waking moment i do not want to go beyond that to commit to something that i do not have the full facts or details about would not be appropriate on the floor of the dáil the sexual abuse of children is a horrific crime those who perpetrate such crimes if they are still around should be brought before justice to go back the distance involved here would present an enormous scale and challenge deputy micheál martin has made a point i will have to look at the scale of what might be involved to answer his question on whether anything might be possible i do not want to give a commitment without focussing on the potential scale of what is involved,338,enda kenny,enda kenny,Enda Kenny,Enda,Kenny,32nd Dáil,Mayo,Fine Gael,2016-03-10,2020-01-14 00:00:00.000000,male,yes,1
2016-10-05,dail,Minister for Children and Youth Affairs (Deputy Katherine Zappone),"minister for children and youth affairs (deputy katherine zappone)
          i thank the chairman. i am pleased to join the committee this morning to deal with issues relating to the estimates for my department and to discuss my plans for the future in the context of the programme for government. i welcome the opportunity to brief the committee on the key issues from my perspective.
           before i continue, i wish to extend an invitation to the committee to visit oberstown children detention campus. i know members have had the opportunity for an exchange with both the chairperson and the director of oberstown. i hope the committee will agree that, despite recent challenges, we are on the right path. i would be happy to return to this matter later if committee members wish.
           i welcome the views of members on their priorities in terms of spending on children and young people. the discussion should be a two-way process and it would be helpful for me to understand the issues members wish to advance. clearly, with a limited budget, choices must be made.
           i will set out a little about the mid-year expenditure. the 2016 provision for my department's vote totals €1.117 billion. this is made up of €1.088 billion in current funding and €29 million in capital. the composition of the department of children and youth affairs vote largely echoes the priority areas we will be discussing today. the largest portion of the allocation, a sum of €679 million, relates to tusla, the child and family agency. the next largest allocation of €344 million relates to early childhood care and education scheme and the other early years schemes. the vote also contains smaller but no less important allocations that support a variety of programmes and services. these include the youth sector, the irish youth justice service, research, the young person's policy framework, the commission of investigation into mother and baby homes, the office of the ombudsman for children and the adoption authority of ireland.
           the mid-year expenditure position for the vote shows an overall variation of €8.41 million ahead of profile. this over-profile position is largely attributable to timing issues, particularly in respect of tusla. the agency made a significant drawdown of some €24 million in the last days of june, although the transaction was profiled for july expenditure.
           at mid-year, the tusla subhead was showing an expenditure outlay of €4 million below profile. as of the end of september, tusla is showing an underspend of €1 million. the overall tusla spend is currently largely on profile and i would expect that the full resource provision will be expended by the end of the year. any marginal overspend which might occur will be met from within the vote - this a key message.
           the other areas of the vote continue to show expenditure variations to varying degrees, including some under-profile figures on the child care schemes. overall, however, i expect that the year-end position will see capacity within the vote to meet any marginal overspend arising with no requirement for any supplementary estimate in 2016.
           the expenditure details that i have just outlined set the context for my priorities in the future. since this government took office on 6 may, we have been working on a challenging and ambitious agenda of development and reform. i have had the opportunity to visit many services throughout the country, both statutory and non-statutory, and i am struck by the commitment, energy and, indeed, passion of all involved.
           i am proud of the part that i played in negotiating a programme for partnership government because of the nature and extent of its commitments about children, young people and families. in all, there are some 32 specific commitments in the programme relating to my department and i want to make swift progress in as many of them as i possibly can, as early as i can.
           the commitments will also inform my department's statement of strategy for the period 2016-19, which we are working on and hope to finalise by the end of this month. as a framework for the specific commitments, my overall strategic objectives will be about having the right policies, legislation and resources in place to meet the particular needs of children, young people and families; making sure we have the right systems of support for all groups, whether they are vulnerable children in need of intervention by tusla, systems like meitheal, the family early intervention supports, child care supports for families throughout the country, or wider supports for children and families generally; supporting children and young people in active learning and participation in society, and taking a look at the systems, such as home-school liaison, school completion, school attendance; looking at policies across government through the lens of children and young people and working effectively across government to promote their well-being; addressing inequalities robustly; and critically evaluating our performance, and taking decisions informed by the best available evidence and research. i was delighted to hear about the recent outcomes and outputs of the growing up in ireland survey and the better outcomes, brighter future consortium that i chaired last week. these are my overall strategic objectives, which then translate into a number of tangible priority actions that i want to advance.
           one of the biggest contributions we can make as a society to families is to provide high-quality affordable child care. we made some progress recently but i want to do a lot more. i am pleased that the ecce scheme was extended by an average of 23 extra weeks under budget 2016. this improvement came into effect from 1 september, with additional entry points in january and april next.
           in 2017, my major proposal is for a single affordable child care scheme. this will combine a number of existing schemes and, more important, extend the numbers of children and families eligible for subsidised child care over time. my intention is to introduce some form of subsidisation of child care costs for nine to 36-month-old children who are looked after by registered child care providers. this is a key element of the budget negotiations at present.
           of critical concern to me is that we promote and support a constantly developing culture of quality in the sector, to add to what we have achieved in recent times. i recognise the commitment of those working in the sector and want to do all i can to address quality, sustainability and working conditions. of course, we are not the employers in the sector and cannot set pay rates, but i am conscious of the issues that professionals face and i believe that it is possible over time to take positive steps to help address their concerns. unless we do this we will not have a sustainable child care system.
           i am particularly pleased with the work we have done, in close collaboration with all involved, to put in place the new access and inclusion model, aim. from the feedback i have received, i believe the new aim model is having a positive impact and will continue to make a real difference. i am delighted that the model was introduced on schedule and that take-up of various elements is increasing.
           at my request, tusla has maintained its emphasis on implementing a three-year plan to eliminate the list of unallocated cases and to ensure it does not recur. this is the second year of the action plan, and i can assure the committee that it is a high priority for me in budgetary negotiations for next year. unallocated cases have fallen by 50% since the establishment of tusla in 2014, and there has been a fall of 25% in such cases since the end of 2015. we need to keep the momentum in order to eliminate the list of cases.
           another key element of the reform programme is the development of a modern ict system to support social workers. the national child care information system will ensure that every social work department can record the case history of every child, who is the subject of a child protection or welfare concern. this will apply from the point of initial referral to case closure. the system will also have the capacity to facilitate the integration and sharing of information on child protection and welfare cases between tusla areas. the continued roll-out of the system is a necessity.
           a lifelong concern of mine has been the inequality faced by many groups in society. i have committed to a set of important actions in the area of child homelessness as part of the government’s action plan on housing and homelessness. of course the overall solution is to prevent families from becoming homeless in the first place and to restore them as quickly as possible to their own accommodation when homelessness arises, but there are a number of practical steps we can take to support those in emergency accommodation, including access to early years services, school completion services and free public transport for school journeys. i will continue to work with my colleagues in government to ensure that we deliver a joined-up set of supports to those who are homeless, and to use pragmatic solutions.
           staying with the theme of inequality, another key concern of mine is addressing child poverty. as with homelessness, this is a personal and human issue which we must combat. the key to this is to work together, through public, private, community and voluntary sectors. we must work with young people, parents and front-line agencies. it is not only about income supports – even though these play a vital role. it is about providing services such as child care. we need to prepare children for school so that they have an equal chance at the opportunities that education provides. i believe that education is key to lifting children out of poverty in the long term. of course, we have substantial research evidence to back this up. among the initiatives i want to continue supporting will be the abc programme, which i will also seek to support in the coming budget.
           i am strongly committed to advancing our legislation on adoption. the adoption (amendment) bill 2016 has passed second stage in the dáil and i look forward to working with all the committee members when we reach committee stage, our first committee stage together, which has been set for 2 november. i am pleased to say that the adoption (information and tracing) bill is at an advanced stage of development and i hope to bring it to government for approval to publish later this month.
           the last dáil enacted an important piece of child protection legislation, namely the children first act 2015. we have commenced implementation of some provisions, and i will shortly announce a plan for the phased and structured implementation of all of the remaining sections.
           since becoming minister, i have visited a number of youth services and projects, and met many young people in the context of a range of initiatives that they have been involved in. i have been hugely impressed by the enthusiasm of our young people, and especially by their confident attitude to what they, and we, as a society, can achieve. in particular, i have enjoyed my discussions with young people on participation in decision-making about issues affecting them.
           i have put forward the case during the budgetary process to achieve a favourable increase in funding for youth organisations. in addition, my department is working on the development of the promised lgbt youth strategy that will encompass education, youth services, mental health and other issues of priority to young people. also, a lead team is in place in my department to implement our first ever national youth strategy. while the youth sector may attract less commentary than other areas, it is a key focus for the coming year.
           we all want to build better lives for our children and young people and i hope what i have outlined today will go some way towards achieving that. as i said at the outset, i would very much like to hear details of the members' own priorities and suggestions about how we, together, can make this a better country for children and young people.",          i thank the chairman i am pleased to join the committee this morning to deal with issues relating to the estimates for my department and to discuss my plans for the future in the context of the programme for government i welcome the opportunity to brief the committee on the key issues from my perspective            before i continue i wish to extend an invitation to the committee to visit oberstown children detention campus i know members have had the opportunity for an exchange with both the chairperson and the director of oberstown i hope the committee will agree that despite recent challenges we are on the right path i would be happy to return to this matter later if committee members wish            i welcome the views of members on their priorities in terms of spending on children and young people the discussion should be a twoway process and it would be helpful for me to understand the issues members wish to advance clearly with a limited budget choices must be made            i will set out a little about the midyear expenditure the 2016 provision for my departments vote totals 1117 billion this is made up of 1088 billion in current funding and 29 million in capital the composition of the department of children and youth affairs vote largely echoes the priority areas we will be discussing today the largest portion of the allocation a sum of 679 million relates to tusla the child and family agency the next largest allocation of 344 million relates to early childhood care and education scheme and the other early years schemes the vote also contains smaller but no less important allocations that support a variety of programmes and services these include the youth sector the irish youth justice service research the young persons policy framework the commission of investigation into mother and baby homes the office of the ombudsman for children and the adoption authority of ireland            the midyear expenditure position for the vote shows an overall variation of 841 million ahead of profile this overprofile position is largely attributable to timing issues particularly in respect of tusla the agency made a significant drawdown of some 24 million in the last days of june although the transaction was profiled for july expenditure            at midyear the tusla subhead was showing an expenditure outlay of 4 million below profile as of the end of september tusla is showing an underspend of 1 million the overall tusla spend is currently largely on profile and i would expect that the full resource provision will be expended by the end of the year any marginal overspend which might occur will be met from within the vote  this a key message            the other areas of the vote continue to show expenditure variations to varying degrees including some underprofile figures on the child care schemes overall however i expect that the yearend position will see capacity within the vote to meet any marginal overspend arising with no requirement for any supplementary estimate in 2016            the expenditure details that i have just outlined set the context for my priorities in the future since this government took office on 6 may we have been working on a challenging and ambitious agenda of development and reform i have had the opportunity to visit many services throughout the country both statutory and nonstatutory and i am struck by the commitment energy and indeed passion of all involved            i am proud of the part that i played in negotiating a programme for partnership government because of the nature and extent of its commitments about children young people and families in all there are some 32 specific commitments in the programme relating to my department and i want to make swift progress in as many of them as i possibly can as early as i can            the commitments will also inform my departments statement of strategy for the period 201619 which we are working on and hope to finalise by the end of this month as a framework for the specific commitments my overall strategic objectives will be about having the right policies legislation and resources in place to meet the particular needs of children young people and families making sure we have the right systems of support for all groups whether they are vulnerable children in need of intervention by tusla systems like meitheal the family early intervention supports child care supports for families throughout the country or wider supports for children and families generally supporting children and young people in active learning and participation in society and taking a look at the systems such as homeschool liaison school completion school attendance looking at policies across government through the lens of children and young people and working effectively across government to promote their wellbeing addressing inequalities robustly and critically evaluating our performance and taking decisions informed by the best available evidence and research i was delighted to hear about the recent outcomes and outputs of the growing up in ireland survey and the better outcomes brighter future consortium that i chaired last week these are my overall strategic objectives which then translate into a number of tangible priority actions that i want to advance            one of the biggest contributions we can make as a society to families is to provide highquality affordable child care we made some progress recently but i want to do a lot more i am pleased that the ecce scheme was extended by an average of 23 extra weeks under budget 2016 this improvement came into effect from 1 september with additional entry points in january and april next            in 2017 my major proposal is for a single affordable child care scheme this will combine a number of existing schemes and more important extend the numbers of children and families eligible for subsidised child care over time my intention is to introduce some form of subsidisation of child care costs for nine to 36monthold children who are looked after by registered child care providers this is a key element of the budget negotiations at present            of critical concern to me is that we promote and support a constantly developing culture of quality in the sector to add to what we have achieved in recent times i recognise the commitment of those working in the sector and want to do all i can to address quality sustainability and working conditions of course we are not the employers in the sector and cannot set pay rates but i am conscious of the issues that professionals face and i believe that it is possible over time to take positive steps to help address their concerns unless we do this we will not have a sustainable child care system            i am particularly pleased with the work we have done in close collaboration with all involved to put in place the new access and inclusion model aim from the feedback i have received i believe the new aim model is having a positive impact and will continue to make a real difference i am delighted that the model was introduced on schedule and that takeup of various elements is increasing            at my request tusla has maintained its emphasis on implementing a threeyear plan to eliminate the list of unallocated cases and to ensure it does not recur this is the second year of the action plan and i can assure the committee that it is a high priority for me in budgetary negotiations for next year unallocated cases have fallen by 50 since the establishment of tusla in 2014 and there has been a fall of 25 in such cases since the end of 2015 we need to keep the momentum in order to eliminate the list of cases            another key element of the reform programme is the development of a modern ict system to support social workers the national child care information system will ensure that every social work department can record the case history of every child who is the subject of a child protection or welfare concern this will apply from the point of initial referral to case closure the system will also have the capacity to facilitate the integration and sharing of information on child protection and welfare cases between tusla areas the continued rollout of the system is a necessity            a lifelong concern of mine has been the inequality faced by many groups in society i have committed to a set of important actions in the area of child homelessness as part of the governments action plan on housing and homelessness of course the overall solution is to prevent families from becoming homeless in the first place and to restore them as quickly as possible to their own accommodation when homelessness arises but there are a number of practical steps we can take to support those in emergency accommodation including access to early years services school completion services and free public transport for school journeys i will continue to work with my colleagues in government to ensure that we deliver a joinedup set of supports to those who are homeless and to use pragmatic solutions            staying with the theme of inequality another key concern of mine is addressing child poverty as with homelessness this is a personal and human issue which we must combat the key to this is to work together through public private community and voluntary sectors we must work with young people parents and frontline agencies it is not only about income supports  even though these play a vital role it is about providing services such as child care we need to prepare children for school so that they have an equal chance at the opportunities that education provides i believe that education is key to lifting children out of poverty in the long term of course we have substantial research evidence to back this up among the initiatives i want to continue supporting will be the abc programme which i will also seek to support in the coming budget            i am strongly committed to advancing our legislation on adoption the adoption amendment bill 2016 has passed second stage in the dáil and i look forward to working with all the committee members when we reach committee stage our first committee stage together which has been set for 2 november i am pleased to say that the adoption information and tracing bill is at an advanced stage of development and i hope to bring it to government for approval to publish later this month            the last dáil enacted an important piece of child protection legislation namely the children first act 2015 we have commenced implementation of some provisions and i will shortly announce a plan for the phased and structured implementation of all of the remaining sections            since becoming minister i have visited a number of youth services and projects and met many young people in the context of a range of initiatives that they have been involved in i have been hugely impressed by the enthusiasm of our young people and especially by their confident attitude to what they and we as a society can achieve in particular i have enjoyed my discussions with young people on participation in decisionmaking about issues affecting them            i have put forward the case during the budgetary process to achieve a favourable increase in funding for youth organisations in addition my department is working on the development of the promised lgbt youth strategy that will encompass education youth services mental health and other issues of priority to young people also a lead team is in place in my department to implement our first ever national youth strategy while the youth sector may attract less commentary than other areas it is a key focus for the coming year            we all want to build better lives for our children and young people and i hope what i have outlined today will go some way towards achieving that as i said at the outset i would very much like to hear details of the members own priorities and suggestions about how we together can make this a better country for children and young people,2029,katherine zappone,enda kenny,Katherine Zappone,Katherine,Zappone,32nd Dáil,Dublin South-West,Independent,2016-03-10,2020-01-14 00:00:00.000000,female,yes,1
