date,house,debateType,debate_uri,xml_uri
2017-12-19,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_education_and_skills/2017-12-19/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_education_and_skills/2017-12-19/debate/mul@/main.xml
2017-12-15,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2017-12-15/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2017-12-15/debate/mul@/main.xml
2017-12-15,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2017-12-15/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2017-12-15/debate/mul@/main.xml
2017-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2017-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/committee_of_public_accounts/2017-12-14/debate/mul@/main.xml
2017-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_foreign_affairs_and_trade_and_defence/2017-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_foreign_affairs_and_trade_and_defence/2017-12-14/debate/mul@/main.xml
2017-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_the_eighth_amendment_of_the_constitution/2017-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_the_eighth_amendment_of_the_constitution/2017-12-14/debate/mul@/main.xml
2017-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_future_of_mental_health_care/2017-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_future_of_mental_health_care/2017-12-14/debate/mul@/main.xml
2017-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_finance_public_expenditure_and_reform_and_taoiseach/2017-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_finance_public_expenditure_and_reform_and_taoiseach/2017-12-14/debate/mul@/main.xml
2017-12-14,seanad,debate,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2017-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2017-12-14/debate/mul@/main.xml
2017-12-14,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2017-12-14/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2017-12-14/debate/mul@/main.xml
2017-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_planning_and_local_government/2017-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_housing_planning_and_local_government/2017-12-13/debate/mul@/main.xml
2017-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_rural_and_community_development/2017-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_rural_and_community_development/2017-12-13/debate/mul@/main.xml
2017-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_transport_tourism_and_sport/2017-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_transport_tourism_and_sport/2017-12-13/debate/mul@/main.xml
2017-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_the_eighth_amendment_of_the_constitution/2017-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_the_eighth_amendment_of_the_constitution/2017-12-13/debate/mul@/main.xml
2017-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_european_union_affairs/2017-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_european_union_affairs/2017-12-13/debate/mul@/main.xml
2017-12-13,dail,debate,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2017-12-13/debate/main,https://data.oireachtas.ie/akn/ie/debateRecord/joint_committee_on_health/2017-12-13/debate/mul@/main.xml
