date,house,debate_uri,speech_number,speaker,member_name,text
2025-11-05,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-11-05/debate/main,37,Deputy Mark Ward,Deputy Mark Ward,"deputy mark ward
          i thank the labour party for bringing forward this really important motion. i apologise to deputy sherlock for interrupting her photo opportunity earlier as that was not my intention.
           what underlies addiction is poverty, and a symptom of poverty is trauma and a symptom of trauma is addiction. it is a circle that keeps going around. i am from north clondalkin. i grew up there in the eighties. it was a time of economic hardship across the country but areas like mine suffered the most. we grew up in poverty. this is not me standing up and saying ""poor me"", because when i say i grew up in poverty i did not know it because everybody around me was experiencing the same thing. we simply did not know any better. what we did know was not to ask our parents for too much because it simply was not there. north clondalkin is an area of high disadvantage. i have seen the devastation drugs have inflicted in my area since i was a child. i live in the community still and i have seen the intergenerational addiction and trauma within families. this trauma, as i said, comes from poverty but also from parents of my friends being products of the industrial schools, the magdalen laundries and the mother and baby homes. i can speak to this from personal experience because my father was sent to work in the magdalen laundries at the age of 12. he is 72 now and is only starting to speak about it. this is the trauma people experienced and he knows i am speaking about this today. this trauma was unwittingly passed down by parents to the next generation.
           when i say ""area of high disadvantage"" i am speaking about the government policies of the time, like putting people from the same socioeconomic background into the same area at the same time without having the necessary infrastructure there. when i say we were disadvantaged and in poverty we were not in poverty because of a lack of character or of strength, because the people from my area – my parents, neighbours and friends – had to get out and fight for every single thing our area had, whether that is schools, something simple like buses, health centres and everything else. my very first interaction with activism was fighting for a school in my area. we were sent to a school that was deemed inappropriate for other pupils in a more affluent part of the constituency but it was okay for the students of greenfort, shancastle and harelawn to attend that school. that is what you are being put against. you had to fight that all the time. a lot of my family, friends and neighbours succumbed to addiction over the years. that is just a simple fact of things. while you cannot physically change the environment you are living in people look for alternatives and one of the alternatives they had to was to look at drugs, because they give people the ability to self-soothe and give calm to an anxious inner world. it is called getting out of your head for a reason. if you cannot get out of your estate you can get out of your head in a different way without having to move. it stops a problem for that very short time and then that problem turns into addiction.
           i have only got half a minute left, which i will use to speak about local services. i have worked for years in front-line addiction services in my area. i do not know how long we have been calling for multiannual funding for. it is so important because it would allow agencies that are dealing with the front line to forward plan to deal with things when they arrive at the door. we knew the crack cocaine problem was an issue long before it was being discussed in this house because the front-line services were seeing it, but they had not got the resources to go out and tackle it. we need multiannual funding. if i could get one thing out of today, it would be that."
2025-10-22,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-10-22/debate/main,48,Deputy Paul Murphy,Deputy Paul Murphy,"deputy paul murphy
          okay. the people who are driving this spoiled the vote process are part of the elite. they are not anti-establishment at all. they are a different, more socially conservative part of the elite than fianna fáil and fine gael. they are the opus dei wing of the establishment - wealthy fundamentalist catholics who want to drag us back to the ireland of the magdalen laundries, the mother and baby homes and the industrial schools. they want to make divorce and contraception illegal again. they want to abolish choice and bodily autonomy and force women back into the home.
           people have the right to spoil their vote; there is no question about that. however, if they do so, they will be being taken for fools, like the millions of working-class americans who voted for billionaire businessman donald trump because they thought he was anti-establishment. that is the reality. people who spoil their vote are offering to be the dupes of the irish millionaires. they should not be under any illusion that micheál martin, simon harris or heather humphreys will be upset. they will not be upset. all the spoiled votes will go into one big pile in the count centre. people in fianna fáil and fine gael will not care what people write on their ballot papers. the only thing they care about is that the more spoiled votes there are from people who are rightly angry with and alienated from the political establishment, the fewer votes there will be for the candidate who is not their candidate and the less embarrassing a defeat it will be for them and the establishment.
           if people want to strike a blow against the political establishment, against fianna fáil and fine gael, on friday, they should not spoil their votes. there are two candidates, one of whom will win. one is the government candidate and the other is an independent candidate backed by the opposition. one of them, like most ordinary irish people, voted ""no"" in the first nice and lisbon treaty referendums."
2025-10-21,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-10-21/debate/main,449,Deputy Simon Harris,Deputy Simon Harris,"deputy simon harris
            i fully agree with deputy moynihan. there are officially 12 areas of co-operation that cover a broad swathe of issues under the framework, including education, transport, healthcare and environment. however, i heard the former taoiseach bertie ahern make the point before, and he is entirely correct on this, that it is important that the meetings are dynamic. it is important that people move beyond their speaking points to actually having discussions about the issues that affect the people on the island of ireland. i must say that i feel that is happening more and more. i would use gender-based violence as an example of where we have been having really good conversations around how we can do more joint research in regard to this. another example is mother and baby homes, where the northern ireland executive and stormont are considering issues around that. they are looking for, wanting and receiving co-operation and an exchange of information from this jurisdiction too. storm éowyn is another example. this is where it simply makes sense to practically co-operate, alongside all the formal, structured engagement, which is very important too. it is moving into a much better place."
2025-10-01,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-10-01/debate/main,89,Deputy Catherine Connolly,Deputy Catherine Connolly,"deputy catherine connolly
          le 11 lá anois, tá ceathrar - triúr ban agus fear amháin - i mbun stailc taobh amuigh den dáil agus éilimh thar a bheith bunúsach acu. tá siad ag iarraidh rochtain a bheith acu ar phinsean ranníocach agus ar chárta leighis speisialta, an cárta haa. ceapann siad nach bhfuil an dara rogha acu ach leanúint ar aghaidh lena stailc ocrais. is mór an náire é go bhfuil orthu é sin a dhéanamh agus muidne inár suí anseo gan tada a dhéanamh.
           for 11 days now, four people have felt they have no choice but to go on hunger strike. they are drinking but they are not eating. i am extremely worried about those three women and one man who feel they have no choice but to go on hunger strike to have the most basic requests met. they are asking for a haa medical card and access to a contributory pension. nobody from the minister's government met them until monday. they are standing there and i am ashamed, as i would say most of my colleagues are, that those four people feel they have no choice but do to this to achieve something as basic as that.
           there has been a mean-spirited approach from this government and previous governments in relation to redress for people who have been in institutions. we saw this in the mother and baby home redress scheme, where babies under six months, those who were boarded out and those who suffered because of their mixed-race background were excluded. these four people have been in institutions and suffered intergenerational trauma. they have also worked in those institutions. what they are asking for is very reasonable.
           on every occasion, each government has been held to account but there have been no consequences. to go back, the special advocate for survivors, patricia carey, has said that the supports for survivors of residential institutional abuse act is not fit for purpose. the justice for magdalenes group has said ""the denial to institutional abuse survivors of the haa medical card is an intolerable injustice"". to go back further, mr. justice john quirke's primary recommendation for the magdalen survivors back in 2013 was exactly that, but this was ignored. coming forward to the mother and baby home report and the various processes that were set up following that, the oak consultation said clearly that a haa card should be provided. the department of education and youth's consultation with residential survivors under barbara walshe and catherine o'connell said that this is the most basic request and should be satisfied.
           i ask the minister to take action, to meet those four brave and courageous people who feel they have no choice, to look at this and to resolve the issue as soon as possible."
2025-10-01,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-10-01/debate/main,90,Deputy Jim O'Callaghan,Deputy Jim O'Callaghan,"deputy jim o'callaghan
          gabhaim buíochas leis an teachta as an gceist a chuir sí orm. is ceist an-tábhachtach í. bhí imní orm nuair a chonaic mé na daoine taobh amuigh den dáil cúpla lá ó shin agus iad ar stailc ocrais. beidh mé ag caint leis an aire oideachais faoin gceist sin.
           i am also very concerned about what i have seen recently. this issue was raised with me last week by deputy michael cahill. it is a matter of extreme concern that there are individuals who are making such dangerous efforts to make their point. it is a point they are making admirably but i urge them not to make it through hunger strike. like the rest of us, the deputy will be aware of the dangers such a strike poses to health. i ask those involved to try to engage.
           the deputy made the point that there has not been engagement. however, i understand that officials from the department of education and youth recently met directly with the group to listen to their concerns. the minister, deputy mcentee, also spoke to members of the group who were present during the passage of the supports for survivors of residential institutional abuse act 2025 in july. 
           one of the points the deputy made is that she wants the survivors to be provided with the haa card they are demanding. i will point out that the supports for survivors act enables the hse to provide a package of ongoing health supports and services to survivors. this entitlement will be for life and will not be subject to means tests or periodic reviews. however, i acknowledge that some survivors have sought the provision of what they refer to as a ""haa card"". it is important to note that the haa card provided under the health (amendment) act 1996 was introduced specifically to meet the very significant health needs of a particular group of individuals who contracted a serious and life-threatening condition. i believe it was individuals who had contracted hepatitis c as a result of the negligence of the state. the package of health supports to be provided under the supports for survivors act is the same as that previously provided to survivors and former residents of the magdalen laundry and mother and baby home institutions. the act therefore provides that survivors of industrial schools and reformatories will be treated consistently in this regard.
           i am also aware that another of the concerns of the survivors is that they want a pension top-up payment. again, it is acknowledged that there have been calls for the state to provide this pension payment to survivors and that payments of this type are made to survivors of the magdalen laundries. however, it should be noted that those payments reflect the very particular circumstances involved, where the women in the magdalen laundries were engaged in commercial work as adults, in some cases for many years, without appropriate contributions."
2025-07-17,seanad,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2025-07-17/debate/main,43,Senator Rónán Mullen,Senator Rónán Mullen,"senator rónán mullen
          i spoke yesterday about my concern about the religious orders' interactions with the state and the need for them to be very careful about being bullied by the state in the context of future redress arrangements concerning not abuse in schools, which is a very separate thing, but what happened in mother and baby homes. i do not suggest that there is not a case in some cases for redress but i am very troubled. i read this morning an excellent article by john mcguirk on gript about the tuam babies and the whole cultural narrative being presented around that. i have heard of no credible suggestion or evidence of foul play and heard of no finding by any commission about deliberate neglect. i have heard a whole lot of doubt about how and when a structure that may have had a connection with a sewerage system at some point in the past came to be used as a repository for some children's bones. i suspect i am one of many silent dissenters from the idea that the state should be digging up and examining the bones of long-deceased infants who were unfortunate enough in life to begin with and concerning whom no credible claims of foul play or deliberate neglect have been made, to my knowledge. i have secular friends who dismiss the exercise as a waste of money. it would not be a waste of money if there were a real and honest purpose, but how realistic is it to expect that this long forensic exercise will unearth any significant fact that will lead to justice for any person, living or dead? some see it as the state giving into performative politics or maybe catering to the asks of people who have been hurt in life in some way connected with the homes, and i understand that. i also wonder about the role of public commentators who are anti-catholic and who want to ferment public rejection of irish catholic heritage and culture. is that in play here?
           i am interested in the truth, but the truth is complex and textured. every time i hear rté talk about a disused sewage tank, i know what that is contributing to in people's minds, and it has very little to do with a broad understanding of historical reality. it is for that reason that i ask that we have a respectful debate in the autumn. i know it is irrevocable at this stage that this forensic exercise is going on, and i hope it leads to facts that will bring justice to some person living or dead, but i really doubt it. we should have a discussion about the tuam babies, the narrative around it, the role of the state, the way the state is acting on this, the type of motivations it appears to have and the way it publicly expresses its policy around this because i am not sure that justice is being done in the present in connection with the realities of the past."
2025-07-16,seanad,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2025-07-16/debate/main,84,Senator Patricia Stephenson,Senator Patricia Stephenson,"senator patricia stephenson
          last week's announcement of a commission of investigation into historical abuse is welcome, but it is not enough. the scope of the inquiry is too narrow and by design it risks repeating the mistakes of the past. sexual abuse is one part, a truly devastating part, of a much wider, darker history in our state. it is a history that includes physical violence, emotional cruelty, forced family separation and the selling of irish children into adoption overseas. this all happened with the knowledge of the state, and often with the complicity of the institutions of both church and state. nowhere is this more visible than in tuam, where work begins this week on the painful process of the exhumation of the remains of the 796 babies and children buried there. our thoughts this week and in the coming weeks should be with the mothers, children and families affected by this awful scenario. we also have other sites like it, such as bessborough house.
           catherine corless, working without funding or any fanfare, uncovered the truth of what happened to the tuam babies, the unmarked graves, the hidden past and the institutional silence. what she revealed was not just a local scandal; it was a national reckoning. however, to this day, we have not fully responded to that reckoning. we have not given those children or their mothers the justice they deserve.
           now, once again, with this limited commission we are drawing artificial boundaries around suffering. we are saying to survivors of forced adoption, to mothers who still do not know where their babies are buried and to families excluded from redress schemes because of arbitrary timelines that their pain is not enough. let us remember that just last week the supports for survivors of residential institutional abuse bill passed by the government excluded many women and children who suffered in the so-called mother and baby homes. this exclusion was not just a technicality. it was the arbitrary shutting out of anyone who had not lived in one of these homes for more than six months. that has caused real harm and pain to the people who were excluded.
           if we are serious about truth, justice and reconciliation, we cannot keep siloing suffering. we cannot keep revisiting our past piecemeal and asking survivors to relive their trauma just to be heard. the commission must be all-encompassing once and for all. it must include sexual, physical and emotional abuse, forced family separation and the system of institutional control that allowed it all to happen, because the truth does not come in parts and neither should justice."
2025-07-16,seanad,https://data.oireachtas.ie/akn/ie/debateRecord/seanad/2025-07-16/debate/main,85,Senator Rónán Mullen,Senator Rónán Mullen,"senator rónán mullen
          i welcome the minister.
           i welcome the inquiry and wish the judge well. i hope the process will contribute to the processing of pain from past injustices by survivors and to their getting the justice they deserve.
           i am glad this commission has a broad remit to include all schools. i understand the scoping inquiry grew out of the brave testimony by the ryan brothers and so on, but it was harmful that the state and original scoping inquiry confined itself to religious-run schools. we have to move beyond the black-and-white narrative sometimes preferred by politicians. there could be a public discussion of this. out in society there is a more textured and complex narrative, where for example there are many people of faith who want to see a full measure of justice, compensation and redress, where appropriate, where there was abuse or a failure to deal with it and so on, but at the same time reject any demonisation of religious-run education as a category in itself. that problem was contributed to by the state's inappropriate choice of focusing exclusively on religious schools. it contributed to an already unhealthy demonisation of religious-run education, coming sometimes from anti-catholic and other motives.
           saying all that, our first priority must be those who were abused and their entitlement to tell their stories, be heard, be believed and get justice. much is to be expected from religious-run schools, and they should certainly be leading the way in compensation. i understand many have preceded the state in their efforts to do the work of redress. it is something that government figures do not often acknowledge or acknowledge at all.
           there may well be parts of this story that show there were unhealthy aspects of a religious culture of authority or decision-making in boarding schools. time will tell if that were the case. however, even if it were part of the story, it is never the whole story. we have heard eloquent commentary from others here that this is a problem that has to do with all of society. it is a problem to do with wherever authority is exercised by some people over others. therefore, i hope we can find a way to do justice without demonisation. it should be possible, while condemning everything that was wrong and demanding justice, never to forget to mention the good, untiring, selfless contributions made by many religious congregations and individuals who were exemplary. that should never be forgotten or left out.
           the state could too easily in this set itself up as the adversary of religious orders and trusts in education. i should declare an interest here. i sat on the board of one of those trusts for almost a decade in the past and i know the good work they have done. people often describe this situation as one where religious orders pushed their resources into trusts so they could somehow escape accountability for wrongs. they put resources into these trusts because of the decline in vocations. they want to continue to provide education, which they have done for so long to the benefit of the state and from which countless people have benefited and which many people still want. this is part of the complexity everyone must face up to.
           it is easy for politicians to spend taxpayers' money, set themselves up in judgment and say they are going to go after religious orders, but the law must be followed. people are entitled to access the courts and to their constitutional rights. there should be an acknowledgement, as i said, of where the religious who have an obligation to redress wrong are already doing it. they will be looking carefully to see whether there is a trustworthy dialogue partner in the state or is it just opportunistic politicians who want to get a cheap grace by being seen to be the loudest in their condemnation of others, which is always an easy task.
           all that complexity is in there as we seek to put the rights of victims of past abuses at the very top and to tell the truth in a wholesome, holistic and comprehensive way in our society. we must draw a distinction between situations where past injustices occurred and have not been accounted for and situations which for example may have occurred in mother and baby homes where a number of reports have not found evidence or much evidence of abuse and wrongdoing.
          agents of the state have said they want to extract millions of euro from the legion of mary, which was exemplary in trying to keep mothers and babies in the past. that is the kind of thing that causes many people, including many people of faith, to distrust politicians and the state and to say they are not being fully honest brokers in the way they are dealing with this problem. while we all must unite in getting justice, including justice from religious orders where they failed in their responsibilities, let there not be opportunism here. let there not be a seizing on the latest popular political agenda at the expense of the truth and at the expense of a full measure of justice to all."
2025-07-15,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-15/debate/main,422,Deputy Thomas Gould,Deputy Thomas Gould,"deputy thomas gould
          a couple of days ago, i got a phone call from a guy i knew. he saw the minister talk about the commission of investigation. his voice was very low when i was talking to him. a member of his family was in the house and he did not want them to hear what he was talking to me about because of the shame and stigma that are still there. he did nothing wrong; he is a victim and a survivor. people want justice and for their voices to be heard. why has this taken so long? this man said he is not looking for anything; he wants his voice and his story to be heard. he is looking for justice. he is an exceptionally brave person, like everyone else who has been a victim of this abuse.
           the new commission of investigation will be a relief to many but it will also bring back the trauma of what they went through. i spoke to a mother and baby home survivor who said that every time she walks into a shop and sees the newspaper headlines or turns on the news, she is retraumatised and it brings it all back. there can be no more delays. this has to be moved on. i think everyone is of one mind that this work is really important and needs to be done. it should be borne in mind how difficult it will be for the survivors. they cannot be left waiting for answers. a lady contacted me last year who also falls under this commission of investigation. she said she was a damaged person. she has worked hard and done very well but she still suffers greatly. she deserves justice. justice delayed is justice denied. unfortunately, we have seen the cruelty of fianna fáil and fine gael in the mother and baby home redress schemes. i hope this government has learned from that and the mistakes of the past will not be made again. i was at an event last year where i met a fella i went to school with. there was a christian brother convicted of abuse and he pleaded guilty - brother brian in the north monastery. i was in the same year as this lad who was abused by this christian brother who went to jail. he is lucky he has a great wife and a great family. he and all these victims need support. some of them have had to do it alone and that is not right."
2025-07-15,dail,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-15/debate/main,426,Deputy Robert O'Donoghue,Deputy Robert O'Donoghue,"deputy robert o'donoghue
          ireland has been scarred by decades of institutional abuse. due to the clergy, industrial schools, mother and baby homes and magdalen laundries, nearly every family in ireland has felt some trace of pain. it is not lost on me that we are discussing this topic when excavation work is starting on the mother and baby home in tuam. survivors have been denied justice for far too long. i welcome the announcement by the minister, deputy mcentee, that the government is to establish a statutory commission of investigation into historical sexual abuse in schools. however, i do not believe that survivors should need to wait five years for the outcomes of the process. this move is long overdue. it only came about thanks to the bravery of survivors, advocates, the findings of the scoping inquiry and the tireless work of campaigners who fought for truth and justice for so many years. this commission is a vital step forward, a chance to uncover truth, accountability and justice and to shine light on the dark and painful reality of the abuse that occurred in our schools. we need to look at why allegations and concerns were ignored and concealed over so many decades in hundreds of schools, most of them run by religious orders.
           we owe an enormous debt of gratitude to the survivors and to every person who has come forward to share their trauma. i would like to acknowledge the enormous work done by one in four, which worked persistently to help survivors to break the silence surrounding childhood sexual abuse. its courage helped to expose one of the most shameful chapters in our education system. this process must be about making sure these voices are heard. for survivors who have never spoken about the horrors they experienced, i urge them to come forward to take part in this investigation. they will be supported every step of the way.
           while this commission is hugely welcome, it must not stand alone. survivors have been clear. this cannot just be symbolic. we must include real accountability from religious orders' school bodies responsible. that needs financial contributions too because burdens of redress should not fall on the taxpayer alone. the labour party is again calling on the government to establish a redress scheme in parallel with the commission. survivors should not be forced to wait years for justice. that redress scheme must be fully resourced, transparent and led by survivors. it is also essential that religious orders, many of which are directly responsible for the schools involved, pay their fair share. they must not be allowed to hide behind legal loopholes, trusts or technicalities to avoid their obligations. the labour party brought forward its bill in order to remove the very obstacles that have for so long stood in the way of redress.
           i take this opportunity to highlight the critical and central legislation brought forward by my colleague deputy ivana bacik on behalf of the labour party. deputy bacik worked tirelessly on the civil liability (child sexual abuse proceedings against unincorporated bodies of persons) bill, which is designed to remove the legal barriers that have prevented many survivors of institutional abuse from taking civil actions against religious orders responsible. for too long, these institutions, many of them unincorporated bodies, have evaded accountability by hiding behind complex legal structures and transferring assets into lay-run trusts. survivors have faced enormous obstacles when seeking justice. this legislation, brought forward by the labour party, would change that. it would also allow survivors to bring civil claims directly against unincorporated bodies such as religious orders. crucially, it gives courts powers to access the assets held in associated trusts, even where these trusts were set up to shield an institution from liability. it is a simple principle: if you are responsible, you must be accountable.
           survivors must not be met with silence or legal gymnastics. they deserve a fair pathway to justice. this bill is about making sure no institution can hide from responsibility any longer. we call on the government to support the bill and act now to deliver real justice for survivors. the labour party's bill would create a clear and immediate pathway to justice and we call on the government to support it without delay.
           this moment calls for more than words; it calls for firm action. now is the time to stand with those survivors to ensure they are heard and make sure that those responsible are finally held to account. survivors have waited long enough."
